and also both 
russia ukraine moldova 

russian polish lithuanian 
russia poland lithuania 

takes gives puts 
taking giving putting 

takes gets gives 
taking getting giving 

going getting finding 
goes gets finds 

stop keep protect 
stops keeps protects 

keep protect prevent 
keeps protects prevents 

keep hold carry 
keeps holds carries 

returned entered stayed 
leave enter stay 

continued remained stayed 
continue remain stay 

texas florida georgia 
dallas tampa atlanta 

artist musician dancer 
artists musicians dancers 

artist painter architect 
artists painters architects 

tried failed managed 
tries fails manages 

tried asked agreed 
tries asks agrees 

told asked invited 
telling asking inviting 

told asked agreed 
tells asks agrees 

told tells telling 
asked asks asking 

russia armenia serbia 
moscow yerevan belgrade 

gets puts sends 
getting putting sending 

sweden norway estonia 
gothenburg oslo tallinn 

sweden norway iceland 
swedish norwegian icelandic 

leave join enter 
leaving joining entering 

gives puts sends 
giving putting sending 

novel novels novelist 
poem poems poet 

tells finds sees 
tell find see 

dutch netherlands zeeland 
swedish sweden gotland 

dutch danish finnish 
netherlands denmark finland 

baseball mlb phillies 
basketball nba 76ers 

austria switzerland belgium 
austrian swiss belgian 

boston philadelphia atlanta 
bruins flyers thrashers 

boston philadelphia detroit 
massachusetts pennsylvania michigan 

boston toronto montreal 
bruins leafs canadiens 

pennsylvania massachusetts rhode 
philadelphia boston providence 

pennsylvania michigan tennessee 
philadelphia detroit nashville 

poland hungary serbia 
polish hungarian serbian 

poland ukraine moldova 
polish ukrainian moldovan 

poland croatia slovenia 
polish croatian slovenian 

poet painter architect 
poets painters architects 

protect prevent reduce 
protects prevents reduces 

painting sculpture printmaking 
painter sculptor engraver 

brazil argentina chile 
brazilian argentine chilean 

brazil chile colombia 
brazilian chilean colombian 

physics mathematics economics 
physicist mathematician economist 

physics biology paleontology 
physicist biologist paleontologist 

belgian austrian swiss 
belgium austria switzerland 

turkey armenia serbia 
istanbul yerevan belgrade 

turkey iran armenia 
istanbul tehran yerevan 

turkey turkish istanbul 
azerbaijan azerbaijani baku 

turkey turkish istanbul 
serbia serbian belgrade 

turkey hungary serbia 
turkish hungarian serbian 

chemistry mathematics economics 
chemist mathematician economist 

toronto montreal edmonton 
leafs canadiens oilers 

muslims hindus buddhists 
islam hinduism buddhism 

muslims christians hindus 
islam christianity hinduism 

afghanistan afghan kandahar 
iraq iraqi mosul 

send sending sends 
receive receiving receives 

argentina ecuador uruguay 
buenos guayaquil montevideo 

montreal chicoutimi laval 
canadiens vezina qmjhl 

azerbaijan armenia macedonia 
azerbaijani armenian macedonian 

azerbaijan ukraine serbia 
azerbaijani ukrainian serbian 

chile colombia venezuela 
chilean colombian venezuelan 

romania hungary latvia 
romanian hungarian latvian 

hindu hindus hinduism 
buddhist buddhists buddhism 

armenian armenia yerevan 
serbian serbia belgrade 

armenian serbian azerbaijani 
armenia serbia azerbaijan 

ukraine hungary serbia 
ukrainian hungarian serbian 

hungary bulgaria lithuania 
hungarian bulgarian lithuanian 

hungary serbia latvia 
hungarian serbian latvian 

hungary serbia bosnia 
budapest belgrade sarajevo 

philosopher theologian theorist 
philosophers theologians theorists 

scholars philosophers theologians 
scholar philosopher theologian 

scholars poets painters 
scholar poet painter 

armenia serbia bosnia 
yerevan belgrade sarajevo 

serbia albania macedonia 
novi tirana skopje 

buddhism buddhist buddhists 
hinduism hindu hindus 

metamorphic limestones basaltic 
precambrian oligocene phanerozoic 

settler osage tarin 
lenape algonquian balti 

mato gerais jalisco 
campo horizonte guadalajara 

thanjavur cuddalore kaveri 
taluks kannur zhob 

