route routes 
mediator mediators 
helmet helmets 
protein proteins 
Romanian Romanians 
Developer Developers 
supervisor supervisors 
ally allies 
castle castles 
offender offenders 
recorder recorders 
disaster disasters 
guerrilla guerrillas 
galaxy galaxies 
diplomat diplomats 
lab labs 
neighbourhood neighbourhoods 
Macedonian Macedonians 
creek creeks 
generator generators 
trench trenches 
selfie selfies 
demon demons 
dam dams 
roadway roadways 
newbie newbies 
plane planes 
Sunni Sunnis 
newcomer newcomers 
monarch monarchs 
meme memes 
Kurdish Kurds 
inhibitor inhibitors 
cylinder cylinders 
investigation investigations 
mathematician mathematicians 
colony colonies 
tradition traditions 
emotion emotions 
Canadian Canadians 
simulation simulations 
mortgage mortgages 
garage garages 
screen screens 
industry industries 
lecture lectures 
car cars 
dragon dragons 
snake snakes 
mortar mortars 
offense offenses 
chicken chickens 
puppet puppets 
gene genes 
guardian guardians 
killer killers 
flyer flyers 
movie movies 
fatality fatalities 
perpetrator perpetrators 
appliance appliances 
wife wives 
model models 
plate plates 
logo logos 
telescope telescopes 
rocket rockets 
billboard billboards 
league leagues 
variant variants 
arch arches 
home homes 
indicator indicators 
frame frames 
philosopher philosophers 
commentator commentators 
bat bats 
river rivers 
client clients 
surgeon surgeons 
embryo embryos 
son sons 
retailer retailers 
critique critiques 
Albanian Albanians 
producer producers 
orientation orientations 
foreigner foreigners 
loop loops 
beach beaches 
issue issues 
monkey monkeys 
extremist extremists 
compiler compilers 
ship ships 
bank banks 
nun nuns 
scheme schemes 
referee referees 
gangster gangsters 
burial burials 
bedroom bedrooms 
neighbor neighbors 
physicist physicists 
teacher teachers 
classmate classmates 
billionaire billionaires 
therapist therapists 
programmer programmers 
cruiser cruisers 
clerk clerks 
painter painters 
herbicide herbicides 
server servers 
trip trips 
motif motifs 
conductor conductors 
discovery discoveries 
creationist creationists 
enthusiast enthusiasts 
film films 
pioneer pioneers 
robbery robberies 
newsletter newsletters 
system systems 
banana bananas 
alcoholic alcoholics 
financier financiers 
beetle beetles 
pedestrian pedestrians 
cousin cousins 
quote quotes 
observer observers 
wrestler wrestlers 
property properties 
analysis analyses 
cafe cafes 
reef reefs 
patron patrons 
dialect dialects 
cottage cottages 
endeavor endeavors 
racer racers 
hawk hawks 
battleship battleships 
nation nations 
biologist biologists 
butterfly butterflies 
masterpiece masterpieces 
postcard postcards 
alumnus alumni 
bloke blokes 
resort resorts 
worker workers 
rider riders 
venture ventures 
frigate frigates 
cartridge cartridges 
team-mate team-mates 
nightclub nightclubs 
European Europeans 
specialist specialists 
settlement settlements 
minister ministers 
pathogen pathogens 
senator senators 
sensation sensations 
transaction transactions 
correspondent correspondents 
contender contenders 
devil devils 
screenshot screenshots 
tag tags 
rehearsal rehearsals 
station stations 
regulator regulators 
wizard wizards 
runner runners 
example examples 
semiconductor semiconductors 
feminist feminists 
club clubs 
computer computers 
paper papers 
piece pieces 
homeowner homeowners 
theory theories 
tutorial tutorials 
christian christians 
villain villains 
jewish jews 
vegetarian vegetarians 
rifle rifles 
chef chefs 
House Houses 
studio studios 
excursion excursions 
advisor advisors 
grant grants 
party parties 
Committee Committees 
sector sectors 
ISP ISPs 
hunter hunters 
taxon taxa 
diver divers 
Editor Editors 
embassy embassies 
proposal proposals 
battle battles 
scientist scientists 
bookstore bookstores 
robber robbers 
insect insects 
grandson grandchildren 
Actor Actors 
warrior warriors 
protagonist protagonists 
activity activities 
turtle turtles 
trainee trainees 
classification classifications 
soldier soldiers 
dinosaur dinosaurs 
synagogue synagogues 
chemical chemicals 
title titles 
commuter commuters 
turkey turkeys 
governor governors 
republic republics 
passport passports 
parasite parasites 
Admin Admins 
conservative conservatives 
dictator dictators 
nutrient nutrients 
Tory Tories 
citation citations 
nickname nicknames 
burger burgers 
landmark landmarks 
dentist dentists 
whistleblower whistleblowers 
defender defenders 
baron barons 
beam beams 
island islands 
faction factions 
Author Authors 
suburb suburbs 
consumer consumers 
lion lions 
mosquito mosquitoes 
skeleton skeletons 
actress actresses 
pie pies 
tutor tutors 
molecule molecules 
formulation formulations 
scenario scenarios 
donor donors 
solicitor solicitors 
loan loans 
temple temples 
monograph monographs 
T-shirt T-shirts 
legend legends 
conference conferences 
corporation corporations 
campaigner campaigners 
fungal fungi 
queen queens 
tank tanks 
Catholic Catholics 
sword swords 
penguin penguins 
witness witnesses 
slave slaves 
area areas 
ocean oceans 
columnist columnists 
narrative narratives 
geek geeks 
sect sects 
metaphor metaphors 
presenter presenters 
customer customers 
receiver receivers 
script scripts 
shell shells 
anthropologist anthropologists 
female females 
diner diners 
husband husbands 
rabbit rabbits 
coat coats 
webpage webpages 
ramp ramps 
aide aides 
user users 
Austrian Austrians 
dog dogs 
Lawyer Lawyers 
perspective perspectives 
borough boroughs 
mom moms 
golfer golfers 
patriot patriots 
regiment regiments 
poem poems 
adventure adventures 
configuration configurations 
cave caves 
plant plants 
mill mills 
curator curators 
linguist linguists 
clown clowns 
type types 
workstation workstations 
helicopter helicopters 
counselor counselors 
cannon cannons 
museum museums 
shelter shelters 
lesbian lesbians 
antibody antibodies 
rhythm rhythms 
shrine shrines 
menu menus 
dish dishes 
nazi nazis 
buyer buyers 
homicide homicides 
plan plans 
planetary planets 
trainer trainers 
version versions 
publisher publishers 
this these 
scandal scandals 
jury juries 
clan clans 
plantation plantations 
lender lenders 
trustee trustees 
estate estates 
module modules 
sister sisters 
reviewer reviewers 
paragraph paragraphs 
era eras 
zoo zoos 
technique techniques 
sign signs 
shop shops 
image images 
household households 
voyage voyages 
reactor reactors 
supplier suppliers 
subscriber subscribers 
region regions 
motorist motorists 
Soviet Soviets 
traveler travelers 
profession professions 
bid bids 
dancer dancers 
prize prizes 
crocodile crocodiles 
human humans 
monster monsters 
tool tools 
predecessor predecessors 
bolt bolts 
Palestinian Palestinians 
implementation implementations 
dealer dealers 
anarchist anarchists 
notion notions 
desktop desktops 
identity identities 
male males 
orbit orbits 
explorer explorers 
developer developers 
beverage beverages 
murderer murderers 
guitar guitars 
shaft shafts 
shield shields 
loser losers 
membership memberships 
patrol patrols 
essay essays 
video videos 
immigrant immigrants 
captain captains 
clinician clinicians 
Islamist Islamists 
rapper rappers 
ghost ghosts 
task tasks 
methodology methodologies 
tour tours 
collection collections 
fox foxes 
district districts 
card cards 
building buildings 
nursery nurseries 
practitioner practitioners 
discourse discourses 
muslim muslims 
neighborhood neighborhoods 
mosque mosques 
bathroom bathrooms 
theme themes 
institute institutes 
book books 
Latino Latinos 
calf calves 
transmitter transmitters 
pupil pupils 
outsider outsiders 
Hindu Hindus 
poet poets 
skyscraper skyscrapers 
mural murals 
tape tapes 
role roles 
lane lanes 
lizard lizards 
decision-making decision-makers 
cleric clerics 
wire wires 
coating coatings 
commissioner commissioners 
accident accidents 
pathway pathways 
method methods 
window windows 
pigeon pigeons 
symbol symbols 
clinic clinics 
booth booths 
demo demos 
accomplishment accomplishments 
enzyme enzymes 
mound mounds 
convict convicts 
entertainer entertainers 
street streets 
symposium symposia 
prediction predictions 
map maps 
court courts 
evangelical evangelicals 
tiger tigers 
nurse nurses 
fisherman fishermen 
painting paintings 
kitchen kitchens 
paradigm paradigms 
violation violations 
alien aliens 
tomato tomatoes 
preacher preachers 
attacker attackers 
Reader Readers 
historian historians 
department departments 
reservoir reservoirs 
communist communists 
casino casinos 
worm worms 
Soldier Soldiers 
carrier carriers 
treasure treasures 
contract contracts 
firm firms 
author authors 
office offices 
application applications 
cellphone cellphones 
rebel rebels 
magazine magazines 
ornament ornaments 
prison prisons 
reaction reactions 
train trains 
enterprise enterprises 
dwelling dwellings 
editor editors 
submarine submarines 
container containers 
pin pins 
bullet bullets 
recipe recipes 
rod rods 
spider spiders 
gadget gadgets 
organizer organizers 
parish parishes 
viewpoint viewpoints 
tire tires 
frequency frequencies 
tube tubes 
cavity cavities 
herb herbs 
verse verses 
African Africans 
satellite satellites 
friend friends 
designation designations 
creature creatures 
officer officers 
identifier identifiers 
organization organizations 
missionary missionaries 
prosecutor prosecutors 
king kings 
restaurant restaurants 
creator creators 
reference references 
presentation presentations 
triumph triumphs 
product products 
addict addicts 
listener listeners 
hypocrite hypocrites 
veteran veterans 
informant informants 
seller sellers 
master masters 
representative representatives 
ref refs 
choir choirs 
guest guests 
degree degrees 
moon moons 
waterway waterways 
barge barges 
pig pigs 
theorist theorists 
processor processors 
arena arenas 
Communist Communists 
phenomenon phenomena 
antagonist antagonists 
climber climbers 
laboratory laboratories 
saint saints 
knife knives 
puppy puppies 
duck ducks 
athlete athletes 
column columns 
peptide peptides 
mechanism mechanisms 
guard guards 
pier piers 
documentary documentaries 
valley valleys 
atheist atheists 
outbreak outbreaks 
successor successors 
ambulance ambulances 
creditor creditors 
member members 
assessment assessments 
Russian Russians 
episode episodes 
chief chiefs 
receptor receptors 
lawmaker lawmakers 
cookie cookies 
garment garments 
migrant migrants 
offence offences 
vault vaults 
game games 
municipality municipalities 
branch branches 
automobile automobiles 
cage cages 
skull skulls 
virus viruses 
smartphone smartphones 
mountain mountains 
nail nails 
fertilizer fertilizers 
shadow shadows 
lunch lunches 
teammate teammates 
hub hubs 
argument arguments 
fanatic fanatics 
Georgian Georgians 
situation situations 
Jew Jews 
staffer staffers 
investigator investigators 
tower towers 
girlfriend girlfriends 
competitor competitors 
camel camels 
link links 
jet jets 
service services 
college colleges 
arbitrator arbitrators 
asteroid asteroids 
exporter exporters 
educator educators 
photo photos 
sticker stickers 
dolphin dolphins 
point points 
ideology ideologies 
casualty casualties 
spy spies 
builder builders 
hero heroes 
head heads 
intersection intersections 
robot robots 
broadcaster broadcasters 
facility facilities 
algorithm algorithms 
movement movements 
outfit outfits 
performer performers 
medication medications 
doctor doctors 
hybrid hybrids 
vegetable vegetables 
dean deans 
sequel sequels 
story stories 
astronaut astronauts 
hat hats 
dock docks 
batsman batsmen 
organiser organisers 
entrepreneur entrepreneurs 
footnote footnotes 
founder founders 
loyalist loyalists 
inventor inventors 
Hungarian Hungarians 
bunker bunkers 
peasant peasants 
attitude attitudes 
surface surfaces 
interpretation interpretations 
chick chicks 
dynasty dynasties 
iPad iPads 
cricketer cricketers 
outcome outcomes 
owner owners 
handgun handguns 
style styles 
starter starters 
category categories 
telephone telephones 
collaborator collaborators 
shirt shirts 
finalist finalists 
anecdote anecdotes 
particle particles 
taxpayer taxpayers 
commander commanders 
item items 
person people 
American Americans 
activist activists 
stakeholder stakeholders 
watershed watersheds 
background backgrounds 
phase phases 
excerpt excerpts 
vine vines 
town towns 
effort efforts 
civilization civilizations 
acquaintance acquaintances 
undergraduate undergraduates 
horse horses 
instrument instruments 
disease diseases 
thug thugs 
actor actors 
tram trams 
animal animals 
boy boys 
psychiatrist psychiatrists 
venue venues 
cemetery cemeteries 
business businesses 
refugee refugees 
illustration illustrations 
fleet fleets 
attraction attractions 
businessman businessmen 
clip clips 
nucleus nuclei 
approach approaches 
truck trucks 
fan fans 
basket baskets 
graduate graduates 
seat seats 
licence licences 
camera cameras 
lecturer lecturers 
egg eggs 
kingdom kingdoms 
learner learners 
browser browsers 
elevator elevators 
team teams 
agency agencies 
bag bags 
engineer engineers 
vaccine vaccines 
regime regimes 
journalist journalists 
rally rallies 
thinker thinkers 
idol idols 
association associations 
sphere spheres 
ambassador ambassadors 
Human Humans 
adversary adversaries 
lamp lamps 
dissident dissidents 
Asian Asians 
goose geese 
contest contests 
fascist fascists 
angle angles 
sensor sensors 
unionist unionists 
separatist separatists 
flag flags 
Californian Californians 
blade blades 
cyclist cyclists 
tractor tractors 
startup startups 
timeline timelines 
handset handsets 
assertion assertions 
eagle eagles 
bee bees 
insurer insurers 
missile missiles 
songwriter songwriters 
celebrity celebrities 
app apps 
plaque plaques 
rabbi rabbis 
planner planners 
deck decks 
strategy strategies 
path paths 
servant servants 
sibling siblings 
fighter fighters 
fool fools 
zone zones 
Arab Arabs 
rival rivals 
victim victims 
contractor contractors 
chapter chapters 
trophy trophies 
substrate substrates 
strap straps 
switch switches 
cow cows 
detainee detainees 
bidder bidders 
antibiotic antibiotics 
manuscript manuscripts 
CEO CEOs 
signal signals 
lawyer lawyers 
monastery monasteries 
church churches 
journal journals 
stadium stadiums 
factory factories 
warehouse warehouses 
garden gardens 
technology technologies 
martyr martyrs 
phrase phrases 
assassin assassins 
council councils 
ceremony ceremonies 
formula formulas 
sniper snipers 
accent accents 
caption captions 
academy academies 
provider providers 
inscription inscriptions 
Filipino Filipinos 
room rooms 
neuron neurons 
intern interns 
SUV SUVs 
leaflet leaflets 
bomber bombers 
sailor sailors 
source sources 
idiot idiots 
forum forums 
storyline storylines 
reward rewards 
Director Directors 
Greek Greeks 
project projects 
holder holders 
lineage lineages 
detector detectors 
priest priests 
monument monuments 
PC PCs 
primate primates 
apartment apartments 
grenade grenades 
tenant tenants 
toilet toilets 
Croatian Croats 
predator predators 
astronomer astronomers 
waterfall waterfalls 
neighbour neighbours 
flight flights 
reporter reporters 
elephant elephants 
territory territories 
occupant occupants 
ingredient ingredients 
unit units 
radar radars 
attorney attorneys 
park parks 
tissue tissues 
campus campuses 
outlet outlets 
artist artists 
proponent proponents 
refinery refineries 
veterinarian veterinarians 
marsh marshes 
school schools 
variation variations 
helper helpers 
machine machines 
snail snails 
diary diaries 
bomb bombs 
spike spikes 
widow widows 
briefing briefings 
judge judges 
protocol protocols 
subsystem subsystems 
depiction depictions 
drone drones 
typo typos 
shark sharks 
republican republicans 
pesticide pesticides 
nest nests 
lake lakes 
agenda agendas 
song songs 
controller controllers 
house houses 
trend trends 
frog frogs 
palace palaces 
Club Clubs 
prostitute prostitutes 
entrance entrances 
insurgent insurgents 
shoe shoes 
volume volumes 
clergyman clergy 
driver drivers 
pub pubs 
hotel hotels 
hymn hymns 
infant infants 
applicant applicants 
tanker tankers 
ward wards 
voter voters 
university universities 
brand brands 
Politician Politicians 
celebration celebrations 
warhead warheads 
pirate pirates 
tribe tribes 
lover lovers 
banker bankers 
ape apes 
passenger passengers 
response responses 
opponent opponents 
senior seniors 
tourist tourists 
ensemble ensembles 
spot spots 
guy guys 
pipeline pipelines 
prince princes 
sculpture sculptures 
borrower borrowers 
firearm firearms 
crop crops 
polymer polymers 
Serb Serbs 
lock locks 
carriage carriages 
insider insiders 
militia militias 
vet vets 
slogan slogans 
side sides 
participant participants 
conversation conversations 
novelist novelists 
structure structures 
pitcher pitchers 
trader traders 
lobbyist lobbyists 
tent tents 
Norwegian Norwegians 
singer singers 
plaintiff plaintiffs 
parliament parliaments 
network networks 
effect effects 
tyrant tyrants 
wikipedian wikipedians 
translator translators 
moron morons 
robe robes 
interpreter interpreters 
Libyan Libyans 
theologian theologians 
drug drugs 
emperor emperors 
capitalist capitalists 
denomination denominations 
campaign campaigns 
weapon weapons 
diocese dioceses 
designer designers 
toy toys 
delegate delegates 
performance performances 
superstar superstars 
pastor pastors 
crew crews 
composer composers 
notebook notebooks 
woman women 
intruder intruders 
village villages 
culture cultures 
trailer trailers 
physician physicians 
leftist leftists 
Polish Poles 
design designs 
bird birds 
township townships 
Pakistani Pakistanis 
infection infections 
novel novels 
verdict verdicts 
dinner dinners 
lorry lorries 
incident incidents 
critic critics 
Musician Musicians 
POW POWs 
road roads 
merchant merchants 
adolescent adolescents 
monk monks 
topic topics 
employer employers 
skier skiers 
continent continents 
device devices 
vampire vampires 
mercenary mercenaries 
boiler boilers 
believer believers 
airplane airplanes 
gig gigs 
gift gifts 
website websites 
disciple disciples 
congregation congregations 
workplace workplaces 
blogger bloggers 
comrade comrades 
empire empires 
fountain fountains 
DJ DJs 
winner winners 
valve valves 
remix remixes 
sandwich sandwiches 
traitor traitors 
deity deities 
relationship relationships 
dress dresses 
tory tories 
province provinces 
massacre massacres 
cake cakes 
skeptic skeptics 
farm farms 
battalion battalions 
salad salads 
policeman policemen 
definition definitions 
tunnel tunnels 
symptom symptoms 
bishop bishops 
Western Westerners 
chip chips 
candle candles 
Ukrainian Ukrainians 
child children 
nationalist nationalists 
ancestor ancestors 
bridge bridges 
installation installations 
promoter promoters 
distributor distributors 
advertisement advertisements 
cart carts 
boat boats 
clone clones 
ecosystem ecosystems 
coach coaches 
lad lads 
championship championships 
reptile reptiles 
cup cups 
quarterback quarterbacks 
toddler toddlers 
manager managers 
location locations 
squad squads 
statue statues 
body bodies 
explanation explanations 
Egyptian Egyptians 
line lines 
coral corals 
Iraqi Iraqis 
Roman Romans 
gallery galleries 
demonstration demonstrations 
Afghan Afghans 
antenna antennas 
income incomes 
library libraries 
apprentice apprentices 
fork forks 
girl girls 
interface interfaces 
bastard bastards 
workshop workshops 
usage usages 
widget widgets 
administrator administrators 
auditor auditors 
escort escorts 
professor professors 
assistant assistants 
platform platforms 
purchaser purchasers 
negotiator negotiators 
county counties 
terrorist terrorists 
god gods 
mentor mentors 
president presidents 
comet comets 
biography biographies 
country countries 
councillor councillors 
delegation delegations 
pattern patterns 
deployment deployments 
candidate candidates 
translation translations 
daughter daughters 
event events 
troll trolls 
description descriptions 
vandal vandals 
camp camps 
keyboard keyboards 
religion religions 
vessel vessels 
vector vectors 
leader leaders 
motorcycle motorcycles 
manifestation manifestations 
packet packets 
IP IPs 
yacht yachts 
ferry ferries 
needle needles 
executive executives 
entity entities 
edition editions 
soul souls 
liar liars 
lodge lodges 
African-American African-Americans 
dictatorship dictatorships 
mayor mayors 
gentleman gentlemen 
airport airports 
rat rats 
supporter supporters 
Socialist Socialists 
american americans 
tournament tournaments 
perception perceptions 
environmentalist environmentalists 
geologist geologists 
trajectory trajectories 
connector connectors 
knight knights 
thing things 
sockpuppet sockpuppets 
shooter shooters 
jersey jerseys 
player players 
baby babies 
hut huts 
ruler rulers 
beast beasts 
lease leases 
millionaire millionaires 
store stores 
scholar scholars 
mission missions 
footballer footballers 
follower followers 
intermediary intermediaries 
Indian Indians 
whale whales 
flower flowers 
forest forests 
man men 
Swedish Swedes 
laptop laptops 
raid raids 
shareholder shareholders 
genus genera 
witch witches 
Italian Italians 
counterpart counterparts 
cult cults 
companion companions 
ant ants 
occurrence occurrences 
compartment compartments 
Czech Czechs 
pipe pipes 
organisation organisations 
cap caps 
laser lasers 
sausage sausages 
agent agents 
photograph photographs 
membrane membranes 
doll dolls 
mall malls 
marketing marketers 
way ways 
convoy convoys 
junction junctions 
course courses 
race races 
locale locales 
budget budgets 
brigade brigades 
commission commissions 
meaning meanings 
victory victories 
departure departures 
holiday holidays 
payment payments 
price prices 
username usernames 
fee fees 
poison poisons 

