freshman freshmen 
athlete athletes 
reformer reformers 
invoice invoices 
accident accidents 
section sections 
youth youths 
poster posters 
occurrence occurrences 
empire empires 
button buttons 
cafe cafes 
diagnosis diagnoses 
slogan slogans 
issuer issuers 
structure structures 
identifier identifiers 
girl girls 
lefty lefties 
statement statements 
meme memes 
recording recordings 
ballad ballads 
memo memos 
corporation corporations 
cocktail cocktails 
teacher teachers 
wife wives 
rhyme rhymes 
photographer photographers 
visa visas 
designation designations 
junction junctions 
formulation formulations 
staffer staffers 
anthology anthologies 
commodity commodities 
tutor tutors 
feature features 
endorsement endorsements 
garment garments 
dialogue dialogues 
transaction transactions 
cylinder cylinders 
lease leases 
herd herds 
reptile reptiles 
puppy puppies 
rebate rebates 
whale whales 
column columns 
economist economists 
congregation congregations 
investigator investigators 
arrow arrows 
test tests 
classroom classrooms 
pesticide pesticides 
estate estates 
newsletter newsletters 
forum forums 
exporter exporters 
night nights 
worm worms 
diplomat diplomats 
picture pictures 
album albums 
psychiatrist psychiatrists 
evaluation evaluations 
reminder reminders 
party parties 
family families 
collaborator collaborators 
ion ions 
generator generators 
councillor councillors 
district districts 
batsman batsmen 
sector sectors 
creek creeks 
suit suits 
actress actresses 
successor successors 
tour tours 
palm palms 
treatment treatments 
terrace terraces 
driver drivers 
constituency constituencies 
regime regimes 
ideology ideologies 
compilation compilations 
novelist novelists 
password passwords 
missile missiles 
businessman businessmen 
formation formations 
relationship relationships 
Restaurant Restaurants 
beam beams 
hat hats 
director directors 
woman women 
monkey monkeys 
goose geese 
cousin cousins 
soldier soldiers 
stone stones 
route routes 
plot plots 
engineer engineers 
primate primates 
offender offenders 
hole holes 
idol idols 
processor processors 
plant plants 
chip chips 
soul souls 
commuter commuters 
writer writers 
pier piers 
procedure procedures 
capsule capsules 
room rooms 
lender lenders 
tube tubes 
bug bugs 
cruiser cruisers 
telescope telescopes 
arbitrator arbitrators 
bottle bottles 
bomb bombs 
course courses 
convoy convoys 
Liberal Liberals 
career careers 
cannon cannons 
mode modes 
inventor inventors 
periodical periodicals 
PC PCs 
pond ponds 
entertainer entertainers 
cop cops 
trailer trailers 
citation citations 
adventure adventures 
arrangement arrangements 
beetle beetles 
ferry ferries 
parish parishes 
handgun handguns 
salary salaries 
doctor doctors 
institution institutions 
shipment shipments 
edition editions 
footnote footnotes 
fleet fleets 
sheet sheets 
troll trolls 
constitution constitutions 
lover lovers 
bag bags 
sect sects 
barnstar barnstars 
actor actors 
cottage cottages 
presenter presenters 
classification classifications 
capitalist capitalists 
crowd crowds 
weekend weekends 
reception receptions 
exam exams 
harbor harbors 
spot spots 
whistleblower whistleblowers 
draft drafts 
tanker tankers 
camel camels 
spouse spouses 
bus buses 
technology technologies 
decree decrees 
iPad iPads 
revolutionary revolutionaries 
advertisement advertisements 
institute institutes 
gland glands 
velocity velocities 
nationalist nationalists 
tourist tourists 
machine machines 
handset handsets 
supermarket supermarkets 
musician musicians 
attacker attackers 
god gods 
brochure brochures 
embryo embryos 
acre acres 
villa villas 
abbreviation abbreviations 
home homes 
river rivers 
monster monsters 
category categories 
follower followers 
crane cranes 
casino casinos 
Islamist Islamists 
line lines 
tram trams 
organization organizations 
archaeologist archaeologists 
helper helpers 
summit summits 
debate debates 
tribute tributes 
scout scouts 
neighbor neighbors 
nurse nurses 
artifact artifacts 
mother mothers 
house houses 
administration administrations 
cyclist cyclists 
parliament parliaments 
Tory Tories 
breed breeds 
customer customers 
jumper jumpers 
slope slopes 
flyer flyers 
preacher preachers 
gene genes 
skeleton skeletons 
pyramid pyramids 
billboard billboards 
orchestra orchestras 
refugee refugees 
screw screws 
bill bills 
city cities 
taxpayer taxpayers 
demo demos 
bull bulls 
gown gowns 
portion portions 
ocean oceans 
browser browsers 
criminal criminals 
workshop workshops 
dome domes 
tumor tumors 
yard yards 
licensee licensees 
supervisor supervisors 
pope popes 
skull skulls 
hub hubs 
sponsor sponsors 
mathematician mathematicians 
migrant migrants 
referee referees 
captain captains 
investment investments 
purchaser purchasers 
concession concessions 
watershed watersheds 
democrat democrats 
librarian librarians 
appliance appliances 
mayor mayors 
testimony testimonies 
mound mounds 
symposium symposia 
victory victories 
interaction interactions 
tiger tigers 
mob mobs 
zombie zombies 
operator operators 
remark remarks 
atom atoms 
clown clowns 
bullet bullets 
myth myths 
election elections 
startup startups 
daughter daughters 
medal medals 
mill mills 
loop loops 
delegate delegates 
kingdom kingdoms 
patron patrons 
lamp lamps 
device devices 
swamp swamps 
mural murals 
waterfall waterfalls 
listener listeners 
chamber chambers 
membrane membranes 
class classes 
pigeon pigeons 
committee committees 
fascist fascists 
environment environments 
charity charities 
kid kids 
sign signs 
analogy analogies 
lady ladies 
extremist extremists 
embassy embassies 
electrode electrodes 
Manager Managers 
head heads 
destination destinations 
rebel rebels 
client clients 
boiler boilers 
voyage voyages 
rival rivals 
installation installations 
prefix prefixes 
reservoir reservoirs 
vandal vandals 
boss bosses 
wheel wheels 
idiot idiots 
robbery robberies 
examination examinations 
toilet toilets 
university universities 
tape tapes 
Soldier Soldiers 
landlord landlords 
appointment appointments 
synagogue synagogues 
square squares 
frame frames 
shirt shirts 
pathogen pathogens 
diploma diplomas 
membership memberships 
pasture pastures 
identity identities 
hut huts 
knight knights 
pin pins 
audition auditions 
variant variants 
chicken chickens 
phenomenon phenomena 
cone cones 
celebration celebrations 
cavity cavities 
product products 
fork forks 
instructor instructors 
movie movies 
Socialist Socialists 
mile miles 
rodent rodents 
airline airlines 
intersection intersections 
revision revisions 
sandwich sandwiches 
url urls 
catalogue catalogues 
sculpture sculptures 
garden gardens 
register registers 
plane planes 
skirt skirts 
session sessions 
ride rides 
mutant mutants 
box boxes 
subgroup subgroups 
channel channels 
consultant consultants 
disciple disciples 
wall walls 
trophy trophies 
sister sisters 
metaphor metaphors 
dataset datasets 
taxon taxa 
mentor mentors 
rock rocks 
cabin cabins 
bomber bombers 
banner banners 
mosquito mosquitoes 
obstacle obstacles 
collaboration collaborations 
notion notions 
discovery discoveries 
apartment apartments 
butterfly butterflies 
package packages 
distributor distributors 
dad dads 
personality personalities 
position positions 
communist communists 
barrel barrels 
trademark trademarks 
pit pits 
student students 
miner miners 
militant militants 
copy copies 
lawn lawns 
tablet tablets 
medication medications 
castle castles 
study studies 
sentence sentences 
grenade grenades 
volume volumes 
anarchist anarchists 
jacket jackets 
consumer consumers 
breeder breeders 
magazine magazines 
pharmacist pharmacists 
film films 
cookie cookies 
description descriptions 
teammate teammates 
shower showers 
schedule schedules 
slot slots 
mediator mediators 
country countries 
storm storms 
lawmaker lawmakers 
recipient recipients 
pipe pipes 
kit kits 
insider insiders 
moth moths 
facility facilities 
cell cells 
account accounts 
transplant transplants 
variation variations 
announcement announcements 
configuration configurations 
timeline timelines 
beneficiary beneficiaries 
chief chiefs 
lab labs 
legend legends 
interface interfaces 
hymn hymns 
outsider outsiders 
rabbi rabbis 
melody melodies 
sniper snipers 
activist activists 
marker markers 
borough boroughs 
notebook notebooks 
calculation calculations 
publication publications 
IP IPs 
school schools 
ministry ministries 
filmmaker filmmakers 
region regions 
bucket buckets 
launch launches 
mosque mosques 
statue statues 
photograph photographs 
warship warships 
car cars 
gem gems 
pal pals 
team teams 
dynasty dynasties 
hotel hotels 
adviser advisers 
antenna antennas 
shoe shoes 
operative operatives 
devil devils 
fanatic fanatics 
strap straps 
ramp ramps 
market markets 
coil coils 
interpreter interpreters 
formula formulas 
dentist dentists 
theologian theologians 
friendship friendships 
demonstration demonstrations 
depiction depictions 
settlement settlements 
type types 
psychologist psychologists 
diocese dioceses 
rod rods 
bathroom bathrooms 
mat mats 
astronaut astronauts 
boxer boxers 
campaign campaigns 
badger badgers 
snake snakes 
pamphlet pamphlets 
speaker speakers 
screen screens 
body bodies 
rivalry rivalries 
jewel jewels 
feminist feminists 
venture ventures 
tool tools 
cemetery cemeteries 
fundraiser fundraisers 
server servers 
movement movements 
virus viruses 
organizer organizers 
angle angles 
inhibitor inhibitors 
priest priests 
entrance entrances 
band bands 
application applications 
vehicle vehicles 
wizard wizards 
spreadsheet spreadsheets 
tattoo tattoos 
bridge bridges 
guitar guitars 
memoir memoirs 
hospital hospitals 
paragraph paragraphs 
wolf wolves 
barge barges 
fragment fragments 
signal signals 
supporter supporters 
columnist columnists 
dispute disputes 
chair chairs 
singer singers 
festival festivals 
Driver Drivers 
flag flags 
amateur amateurs 
award awards 
apple apples 
reader readers 
initiative initiatives 
puppet puppets 
horse horses 
map maps 
sphere spheres 
prostitute prostitutes 
programmer programmers 
app apps 
outing outings 
hill hills 
document documents 
muslim muslims 
narrative narratives 
son sons 
division divisions 
launcher launchers 
brand brands 
centre centres 
investor investors 
conversation conversations 
founder founders 
practitioner practitioners 
message messages 
shrine shrines 
location locations 
allegation allegations 
friend friends 
warning warnings 
neighborhood neighborhoods 
lorry lorries 
concept concepts 
item items 
proposal proposals 
villain villains 
programme programmes 
genre genres 
Spaniard Spaniards 
protester protesters 
bedroom bedrooms 
camp camps 
person people 
swimmer swimmers 
broker brokers 
grid grids 
opponent opponents 
provider providers 
exhibition exhibitions 
desktop desktops 
SUV SUVs 
review reviews 
proponent proponents 
department departments 
socket sockets 
gang gangs 
Officer Officers 
descriptor descriptors 
atheist atheists 
outbreak outbreaks 
Painting Paintings 
vessel vessels 
pedestrian pedestrians 
cliff cliffs 
stub stubs 
thinker thinkers 
passage passages 
sockpuppet sockpuppets 
Division Divisions 
adult adults 
master masters 
enclosure enclosures 
fight fights 
linguist linguists 
ally allies 
motor motors 
organiser organisers 
part parts 
cart carts 
playground playgrounds 
cadet cadets 
governor governors 
component components 
organisation organisations 
church churches 
lizard lizards 
saint saints 
process processes 
helicopter helicopters 
ridge ridges 
cycle cycles 
lion lions 
controller controllers 
bishop bishops 
issue issues 
exchange exchanges 
remix remixes 
laptop laptops 
smartphone smartphones 
patent patents 
rat rats 
museum museums 
nest nests 
hero heroes 
brother brothers 
anecdote anecdotes 
spelling spellings 
crop crops 
version versions 
field fields 
thief thieves 
carpenter craftsmen 
restaurant restaurants 
monk monks 
mall malls 
coat coats 
pod pods 
proton protons 
DVD DVDs 
satellite satellites 
ritual rituals 
promotion promotions 
autobiography autobiographies 
indicator indicators 
puzzle puzzles 
volunteer volunteers 
corridor corridors 
trunk trunks 
portal portals 
tag tags 
duck ducks 
alias aliases 
bacterium bacteria 
cruise cruises 
acquisition acquisitions 
novel novels 
agreement agreements 
sequel sequels 
dose doses 
story stories 
calculator calculators 
idea ideas 
technique techniques 
traveller travellers 
ensemble ensembles 
employee employees 
shield shields 
unit units 
organ organs 
vowel vowels 
meadow meadows 
assassin assassins 
trait traits 
perpetrator perpetrators 
fool fools 
demon demons 
firewall firewalls 
microphone microphones 
assault assaults 
pensioner pensioners 
surgeon surgeons 
court courts 
audience audiences 
bureaucrat bureaucrats 
robe robes 
squadron squadrons 
cord cords 
faction factions 
homeowner homeowners 
interview interviews 
factory factories 
witness witnesses 
footballer footballers 
discount discounts 
deity deities 
reference references 
Section Sections 
burial burials 
granddaughter grandchildren 
Jew Jews 
bookstore bookstores 
marsh marshes 
pet pets 
tribe tribes 
dwelling dwellings 
subpage subpages 
society societies 
window windows 
illustration illustrations 
reporter reporters 
grave graves 
Editor Editors 
traitor traitors 
trail trails 
defender defenders 
string strings 
borrower borrowers 
scholarship scholarships 
base bases 
verse verses 
locomotive locomotives 
logo logos 
nursery nurseries 
rumor rumors 
forest forests 
dinosaur dinosaurs 
wagon wagons 
reaction reactions 
trainer trainers 
discussion discussions 
hack hacks 
professor professors 
catalog catalogs 
magistrate magistrates 
specimen specimens 
clinic clinics 
subsystem subsystems 
conflict conflicts 
format formats 
beach beaches 
snail snails 
mask masks 
millionaire millionaires 
member members 
herb herbs 
republic republics 
seller sellers 
ditch ditches 
surname surnames 
port ports 
ward wards 
race races 
Briton Britons 
topic topics 
company companies 
discourse discourses 
lad lads 
entity entities 
convict convicts 
audit audits 
mechanism mechanisms 
pig pigs 
theatre theatres 
ambassador ambassadors 
competitor competitors 
registry registries 
jet jets 
adversary adversaries 
voucher vouchers 
wedding weddings 
supplier suppliers 
soundtrack soundtracks 
umpire umpires 
victim victims 
quote quotes 
resident residents 
plan plans 
oyster oysters 
auction auctions 
moron morons 
job jobs 
merchant merchants 
solution solutions 
eruption eruptions 
patient patients 
transistor transistors 
endeavor endeavors 
doctrine doctrines 
coach coaches 
painting paintings 
professional professionals 
pioneer pioneers 
element elements 
assignment assignments 
controversy controversies 
tory tories 
lunch lunches 
response responses 
spider spiders 
outfit outfits 
reef reefs 
farmer farmers 
dolphin dolphins 
basket baskets 
animal animals 
nationality nationalities 
informant informants 
area areas 
administrator administrators 
construction constructions 
gate gates 
rapist rapists 
bundle bundles 
baby babies 
release releases 
incumbent incumbents 
monument monuments 
representative representatives 
opera operas 
building buildings 
voter voters 
disagreement disagreements 
Team Teams 
commune communes 
temple temples 
owner owners 
laboratory laboratories 
bath baths 
volcano volcanoes 
officer officers 
declaration declarations 
passenger passengers 
computer computers 
architect architects 
jury juries 
method methods 
farm farms 
brigade brigades 
translator translators 
girlfriend girlfriends 
learner learners 
railroad railroads 
invitation invitations 
advocate advocates 
choir choirs 
rocket rockets 
cup cups 
Website Websites 
journalist journalists 
blade blades 
queen queens 
report reports 
prosecutor prosecutors 
bastard bastards 
republican republicans 
robot robots 
suburb suburbs 
snack snacks 
exhibit exhibits 
disease diseases 
redirect redirects 
NGO NGOs 
valve valves 
manager managers 
grandmother grandparents 
flower flowers 
Author Authors 
handler handlers 
youngster youngsters 
bicycle bicycles 
loan loans 
office offices 
poet poets 
surgery surgeries 
tornado tornadoes 
cohort cohorts 
specialist specialists 
foe foes 
prototype prototypes 
torpedo torpedoes 
palace palaces 
predator predators 
astronomer astronomers 
ring rings 
shelter shelters 
aspect aspects 
blog blogs 
filter filters 
database databases 
creature creatures 
jihadist jihadists 
spy spies 
tale tales 
boy boys 
inscription inscriptions 
transmitter transmitters 
Marxist Marxists 
pillow pillows 
expedition expeditions 
lawsuit lawsuits 
stranger strangers 
character characters 
fence fences 
commissioner commissioners 
carriage carriages 
model models 
mortar mortars 
husband husbands 
argument arguments 
geologist geologists 
Site Sites 
policeman policemen 
disaster disasters 
president presidents 
protein proteins 
marketing marketers 
road roads 
monastery monasteries 
comrade comrades 
missionary missionaries 
video videos 
nonprofit nonprofits 
lock locks 
foreigner foreigners 
bowler bowlers 
colony colonies 
substance substances 
organism organisms 
dictionary dictionaries 
firm firms 
racer racers 
banker bankers 
bolt bolts 
billionaire billionaires 
scenario scenarios 
commander commanders 
implant implants 
dilemma dilemmas 
book books 
translation translations 
tick ticks 
BLP BLPs 
presentation presentations 
rapper rappers 
mansion mansions 
agency agencies 
occupant occupants 
wikipedian wikipedians 
camera cameras 
subsidiary subsidiaries 
excursion excursions 
battleship battleships 
keyword keywords 
lane lanes 
attraction attractions 
basin basins 
liar liars 
calf calves 
recipe recipes 
contest contests 
genus genera 
pigment pigments 
ambulance ambulances 
widget widgets 
gardener gardeners 
slice slices 
radio radios 
deck decks 
trainee trainees 
Nazi Nazis 
task tasks 
journal journals 
briefing briefings 
design designs 
crew crews 
bloke blokes 
intern interns 
injury injuries 
licence licences 
joke jokes 
applicant applicants 
firearm firearms 
dog dogs 
sidewalk sidewalks 
broadcaster broadcasters 
skyscraper skyscrapers 
profile profiles 
frog frogs 
fighter fighters 
cap caps 
niche niches 
aide aides 
campus campuses 
scanner scanners 
parade parades 
Admin Admins 
textbook textbooks 
owl owls 
cardinal cardinals 
sermon sermons 
jar jars 
separatist separatists 
barn barns 
fellow fellows 
nation nations 
inmate inmates 
plaintiff plaintiffs 
plate plates 
occasion occasions 
tractor tractors 
roof roofs 
tenant tenants 
curriculum curricula 
highway highways 
vegetable vegetables 
kitchen kitchens 
cage cages 
cartoon cartoons 
government governments 
goat goats 
transcript transcripts 
methodology methodologies 
holder holders 
Hindu Hindus 
township townships 
chef chefs 
star stars 
pic pics 
phase phases 
toddler toddlers 
zoo zoos 
senator senators 
title titles 
symbol symbols 
door doors 
climber climbers 
colleague colleagues 
episode episodes 
gangster gangsters 
enthusiast enthusiasts 
lobbyist lobbyists 
province provinces 
ad ads 
plaque plaques 
tunnel tunnels 
religion religions 
mercenary mercenaries 
fountain fountains 
regiment regiments 
trip trips 
cluster clusters 
pen pens 
tournament tournaments 
vampire vampires 
turkey turkeys 
executive executives 
activity activities 
console consoles 
monarch monarchs 
vault vaults 
branch branches 
guerrilla guerrillas 
business businesses 
strategist strategists 
compartment compartments 
concert concerts 
protocol protocols 
instance instances 
maker makers 
letter letters 
plantation plantations 
prince princes 
buyer buyers 
hunter hunters 
font fonts 
explanation explanations 
journey journeys 
matter matters 
contractor contractors 
flight flights 
songwriter songwriters 
vacancy vacancies 
conference conferences 
commentator commentators 
pole poles 
traveler travelers 
label labels 
quarterback quarterbacks 
source sources 
clan clans 
association associations 
loyalist loyalists 
golfer golfers 
tent tents 
wine wines 
algorithm algorithms 
war wars 
pill pills 
role roles 
reactor reactors 
cartridge cartridges 
shark sharks 
fan fans 
background backgrounds 
fungus fungi 
detainee detainees 
Zionist Zionists 
industry industries 
beverage beverages 
subscription subscriptions 
commenter commenters 
pharmacy pharmacies 
proposition propositions 
fossil fossils 
bed beds 
platform platforms 
dragon dragons 
legislator legislators 
tower towers 
rationale rationales 
superstar superstars 
printer printers 
deputy deputies 
desk desks 
pitcher pitchers 
thing things 
subsection subsections 
pastor pastors 
situation situations 
player players 
shape shapes 
bee bees 
defendant defendants 
directive directives 
phrase phrases 
alien aliens 
molecule molecules 
loser losers 
detector detectors 
club clubs 
poem poems 
warhead warheads 
acronym acronyms 
ceremony ceremonies 
curve curves 
battle battles 
clone clones 
dinner dinners 
registration registrations 
runway runways 
enemy enemies 
coin coins 
bird birds 
tile tiles 
rabbit rabbits 
incident incidents 
newborn newborns 
descendant descendants 
selection selections 
ancestor ancestors 
weapon weapons 
dissident dissidents 
period periods 
antibody antibodies 
storyline storylines 
packet packets 
layer layers 
bunker bunkers 
stream streams 
module modules 
crisis crises 
teen teens 
gig gigs 
mouse mice 
libertarian libertarians 
locality localities 
newspaper newspapers 
planner planners 
passport passports 
vector vectors 
payment payments 
grouping groupings 
participant participants 
caller callers 
holiday holidays 
certificate certificates 
racist racists 
nun nuns 
documentary documentaries 
citizen citizens 
floor floors 
squirrel squirrels 
project projects 
historian historians 
neuron neurons 
lawyer lawyers 
graph graphs 
shrub shrubs 
grant grants 
turbine turbines 
author authors 
tyrant tyrants 
Palestinian Palestinians 
Catholic Catholics 
collection collections 
contender contenders 
street streets 
motif motifs 
conservative conservatives 
submarine submarines 
budget budgets 
connection connections 
event events 
enzyme enzymes 
pixel pixels 
correspondent correspondents 
community communities 
vacation vacations 
clerk clerks 
immigrant immigrants 
candidate candidates 
tune tunes 
center centers 
assessment assessments 
seminar seminars 
chemist chemists 
inspector inspectors 
island islands 
helmet helmets 
caption captions 
lord lords 
bay bays 
coordinator coordinators 
engine engines 
diner diners 
surface surfaces 
wetland wetlands 
ghost ghosts 
piece pieces 
lesion lesions 
post posts 
tributary tributaries 
mum mums 
corpse corpses 
contract contracts 
landowner landowners 
veterinarian veterinarians 
builder builders 
gentleman gentlemen 
realm realms 
researcher researchers 
warehouse warehouses 
sock socks 
vendor vendors 
context contexts 
starter starters 
Writer Writers 
tabloid tabloids 
eagle eagles 
analyst analysts 
repository repositories 
URL URLs 
iPhone iPhones 
robber robbers 
superhero superheroes 
portrait portraits 
champion champions 
screening screenings 
regulator regulators 
gallery galleries 
effort efforts 
physicist physicists 
tribunal tribunals 
biscuit biscuits 
venue venues 
clinician clinicians 
dealer dealers 
essay essays 
trader traders 
cellphone cellphones 
killer killers 
license licenses 
politician politicians 
contestant contestants 
photon photons 
doll dolls 
dictatorship dictatorships 
notification notifications 
toy toys 
classmate classmates 
library libraries 
fox foxes 
pipeline pipelines 
Sister Sisters 
tomato tomatoes 
entrepreneur entrepreneurs 
biography biographies 
theme themes 
elephant elephants 
shooter shooters 
ball balls 
user users 
gateway gateways 
tire tires 
cable cables 
Mac Macs 
dessert desserts 
secretary secretaries 
detective detectives 
mission missions 
partner partners 
decision decisions 
referral referrals 
fertilizer fertilizers 
airport airports 
landscape landscapes 
challenger challengers 
grass grasses 
verdict verdicts 
needle needles 
Journalist Journalists 
league leagues 
outlet outlets 
teenager teenagers 
profession professions 
workstation workstations 
designer designers 
hacker hackers 
kitten kittens 
collector collectors 
code codes 
tank tanks 
disk disks 
marriage marriages 
subdivision subdivisions 
badge badges 
battalion battalions 
neighbourhood neighbourhoods 
T-shirt T-shirts 
lens lenses 
ruler rulers 
admin admins 
hormone hormones 
case cases 
dialect dialects 
mortgage mortgages 
baron barons 
CD CDs 
commission commissions 
escort escorts 
gun guns 
nickname nicknames 
collision collisions 
tradition traditions 
performance performances 
ID IDs 
coast coasts 
card cards 
philosopher philosophers 
tomb tombs 
pathway pathways 
cricketer cricketers 
sleeve sleeves 
store stores 
ticket tickets 
costume costumes 
distance distances 
avenue avenues 
educator educators 
expert experts 
sticker stickers 
disc discs 
group groups 
subject subjects 
crab crabs 
retailer retailers 
rack racks 
hook hooks 
ornament ornaments 
culture cultures 
manifestation manifestations 
panel panels 
arena arenas 
payer payers 
radar radars 
pattern patterns 
heir heirs 
solicitor solicitors 
ISP ISPs 
planet planets 
refinery refineries 
object objects 
penguin penguins 
strain strains 
carpet carpets 
zone zones 
producer producers 
mutation mutations 
antagonist antagonists 
angel angels 
workplace workplaces 
orchard orchards 
village villages 
laser lasers 
infection infections 
confrontation confrontations 
prize prizes 
chapter chapters 
belt belts 
receiver receivers 
prison prisons 
subscriber subscribers 
fingerprint fingerprints 
diary diaries 
strand strands 
slave slaves 
mammal mammals 
biologist biologists 
accountant accountants 
carcass carcasses 
pub pubs 
pilot pilots 
territory territories 
chart charts 
patriot patriots 
template templates 
electron electrons 
neutron neutrons 
winner winners 
hike hikes 
track tracks 
recorder recorders 
composer composers 
script scripts 
POW POWs 
article articles 
canal canals 
booking bookings 
town towns 
spectator spectators 
definition definitions 
userbox userboxes 
visitor visitors 
judge judges 
perspective perspectives 
stakeholder stakeholders 
MP MPs 
pool pools 
bot bots 
waterway waterways 
skier skiers 
sausage sausages 
knife knives 
circuit circuits 
denomination denominations 
dish dishes 
ingredient ingredients 
thug thugs 
garage garages 
glacier glaciers 
cleric clerics 
sailor sailors 
layout layouts 
manufacturer manufacturers 
painter painters 
lake lakes 
auditor auditors 
stadium stadiums 
postcard postcards 
consultation consultations 
tragedy tragedies 
pistol pistols 
accent accents 
genome genomes 
motorcycle motorcycles 
drug drugs 
bidder bidders 
newcomer newcomers 
Shiite Shiites 
Nationalist Nationalists 
undergraduate undergraduates 
graduate graduates 
Republican Republicans 
union unions 
junior juniors 
Afghan Afghans 
Iraqi Iraqis 

