villa villas 
follower followers 
actress actresses 
method methods 
spy spies 
adviser advisers 
member members 
submarine submarines 
editor editors 
soldier soldiers 
leader leaders 
chemist chemists 
conductor conductors 
superstar superstars 
shirt shirts 
user users 
workstation workstations 
opponent opponents 
automobile automobiles 
pastor pastors 
hacker hackers 
player players 
tablet tablets 
battleship battleships 
regiment regiments 
receiver receivers 
instructor instructors 
skeptic skeptics 
library libraries 
celebrity celebrities 
garage garages 
landlord landlords 
pistol pistols 
company companies 
bee bees 
car cars 
chicken chickens 
spouse spouses 
moth moths 
ambassador ambassadors 
antenna antennas 
presenter presenters 
reformer reformers 
machine machines 
interpreter interpreters 
mechanism mechanisms 
parasite parasites 
hunter hunters 
server servers 
investor investors 
colleague colleagues 
fisherman fishermen 
learner learners 
wikipedian wikipedians 
helmet helmets 
museum museums 
legislator legislators 
cellphone cellphones 
planner planners 
barge barges 
landowner landowners 
cart carts 
student students 
gun guns 
scholar scholars 
missile missiles 
boss bosses 
reviewer reviewers 
pioneer pioneers 
parish parishes 
DJ DJs 
programmer programmers 
pig pigs 
carrier carriers 
activist activists 
reporter reporters 
caregiver caregivers 
wife wives 
whistleblower whistleblowers 
provider providers 
bird birds 
handler handlers 
photon photons 
Jew Jews 
warrior warriors 
handset handsets 
plant plants 
institute institutes 
painter painters 
airport airports 
algorithm algorithms 
vendor vendors 
specialist specialists 
believer believers 
facility facilities 
settler settlers 
supplier suppliers 
truck trucks 
policeman policemen 
plane planes 
collector collectors 
campaigner campaigners 
driver drivers 
kid kids 
hut huts 
lord lords 
locomotive locomotives 
secretary secretaries 
buyer buyers 
traveler travelers 
tank tanks 
gardener gardeners 
regulator regulators 
system systems 
laptop laptops 
contributor contributors 
calf calves 
mammal mammals 
broker brokers 
predator predators 
refugee refugees 
banker bankers 
promoter promoters 
helicopter helicopters 
motorist motorists 
bomber bombers 
correspondent correspondents 
weapon weapons 
cat cats 
proponent proponents 
station stations 
elevator elevators 
bowler bowlers 
novelist novelists 
printer printers 
agent agents 
sociologist sociologists 
box boxes 
athlete athletes 
footballer footballers 
ambulance ambulances 
pigeon pigeons 
observer observers 
product products 
racer racers 
prostitute prostitutes 
founder founders 
deity deities 
casino casinos 
comrade comrades 
festival festivals 
whale whales 
contractor contractors 
preacher preachers 
trainee trainees 
elephant elephants 
agency agencies 
creator creators 
economist economists 
firearm firearms 
foe foes 
trailer trailers 
insect insects 
cartridge cartridges 
murderer murderers 
penguin penguins 
stakeholder stakeholders 
teen teenagers 
spider spiders 
zoo zoos 
toy toys 
turtle turtles 
camera cameras 
monkey monkeys 
tent tents 
maker makers 
thinker thinkers 
entrepreneur entrepreneurs 
voter voters 
trader traders 
offender offenders 
traveller travellers 
human humans 
coach coaches 
musician musicians 
homeowner homeowners 
girl girls 
gentleman gentlemen 
cruiser cruisers 
turbine turbines 
molecule molecules 
batsman batsmen 
insurer insurers 
nun nuns 
jet jets 
beetle beetles 
biologist biologists 
defender defenders 
entity entities 
artist artists 
commodity commodities 
factory factories 
pensioner pensioners 
antagonist antagonists 
staffer staffers 
genome genomes 
dictator dictators 
martyr martyrs 
corpse corpses 
computer computers 
interface interfaces 
ship ships 
taxpayer taxpayers 
pitcher pitchers 
foreigner foreigners 
hospital hospitals 
rifle rifles 
wolf wolves 
cleric clerics 
liar liars 
organization organizations 
shrine shrines 
scientist scientists 
dean deans 
theologian theologians 
lender lenders 
child children 
router routers 
curator curators 
team teams 
pupil pupils 
demon demons 
knife knives 
senator senators 
cow cows 
lion lions 
rat rats 
rabbi rabbis 
worker workers 
costume costumes 
client clients 
fan fans 
ferry ferries 
teacher teachers 
technician technicians 
sword swords 
merchant merchants 
lamp lamps 
researcher researchers 
creature creatures 
kitten kittens 
dancer dancers 
bottle bottles 
psychologist psychologists 
linguist linguists 
lizard lizards 
lobbyist lobbyists 
scanner scanners 
commander commanders 
negotiator negotiators 
defendant defendants 
lawyer lawyers 
spectator spectators 
biography biographies 
officer officers 
house houses 
gadget gadgets 
visitor visitors 
prisoner prisoners 
speaker speakers 
goose geese 
cricketer cricketers 
patient patients 
frog frogs 
collaborator collaborators 
employer employers 
institution institutions 
surgeon surgeons 
lorry lorries 
processor processors 
dolphin dolphins 
sailor sailors 
pedestrian pedestrians 
zombie zombies 
survivor survivors 
congregation congregations 
pharmacist pharmacists 
designer designers 
attorney attorneys 
miner miners 
rider riders 
ruler rulers 
professor professors 
historian historians 
synagogue synagogues 
physician physicians 
poet poets 
dentist dentists 
yacht yachts 
container containers 
bomb bombs 
expert experts 
airplane airplanes 
technique techniques 
detective detectives 
shop shops 
generator generators 
fanatic fanatics 
detector detectors 
supervisor supervisors 
advisor advisors 
listener listeners 
pilot pilots 
bishop bishops 
assassin assassins 
organiser organisers 
beneficiary beneficiaries 
sect sects 
astronomer astronomers 
tiger tigers 
purchaser purchasers 
mouse mice 
administrator administrators 
manufacturer manufacturers 
statue statues 
tree trees 
coordinator coordinators 
journalist journalists 
doll dolls 
captain captains 
butterfly butterflies 
coat coats 
character characters 
supporter supporters 
practitioner practitioners 
son sons 
creationist creationists 
boiler boilers 
mathematician mathematicians 
rabbit rabbits 
palace palaces 
lesbian lesbians 
camel camels 
clown clowns 
occupant occupants 
columnist columnists 
diplomat diplomats 
builder builders 
goat goats 
knight knights 
primate primates 
ant ants 
victim victims 
jacket jackets 
analyst analysts 
patriot patriots 
tram trams 
tractor tractors 
viewer viewers 
photographer photographers 
detainee detainees 
snake snakes 
monster monsters 
philosopher philosophers 
veterinarian veterinarians 
clerk clerks 
passenger passengers 
warship warships 
outsider outsiders 
performer performers 
town towns 
astronaut astronauts 
exporter exporters 
villain villains 
ally allies 
tourist tourists 
songwriter songwriters 
prophet prophets 
CEO CEOs 
tyrant tyrants 
citizen citizens 
business businesses 
farmer farmers 
bike bikes 
comedian comedians 
smartphone smartphones 
engine engines 
owl owls 
borrower borrowers 
squirrel squirrels 
ISP ISPs 
boat boats 
entertainer entertainers 
girlfriend girlfriends 
resident residents 
solicitor solicitors 
trainer trainers 
star stars 
person people 
dragon dragons 
city cities 
horse horses 
cop cops 
contestant contestants 
wrestler wrestlers 
engineer engineers 
taxi taxis 
widget widgets 
chef chefs 
crane cranes 
customer customers 
consultant consultants 
politician politicians 
vandal vandals 
drone drones 
transmitter transmitters 
hero heroes 
community communities 
enterprise enterprises 
geologist geologists 
monk monks 
commentator commentators 
shooter shooters 
critic critics 
microphone microphones 
arbitrator arbitrators 
beach beaches 

