install installing 
incorporate incorporating 
observe observing 
wash washing 
acquire acquiring 
insert inserting 
respond responding 
replace replacing 
exhibit exhibiting 
attain attaining 
inflict inflicting 
depart departing 
have having 
save saving 
unfold unfolding 
propagate propagating 
translate translating 
stay staying 
bend bending 
adapt adapting 
come coming 
need needing 
extract extracting 
violate violating 
worsen worsening 
seize seizing 
insist insisting 
cite citing 
prosecute prosecuting 
pretend pretending 
overturn overturning 
compile compiling 
showcase showcasing 
inspire inspiring 
await awaiting 
push pushing 
gather gathering 
guarantee guaranteeing 
accuse accusing 
govern governing 
inspect inspecting 
deepen deepening 
drag dragging 
prove proving 
contain containing 
touch touching 
endorse endorsing 
locate locating 
fight fighting 
carry carrying 
address addressing 
drop dropping 
increase increasing 
exceed exceeding 
commit committing 
upgrade upgrading 
hug hugging 
kick kicking 
halt halting 
evaluate evaluating 
promote promoting 
kidnap kidnapping 
contradict contradicting 
uphold upholding 
look looking 
realise realising 
cheer cheering 
notify notifying 
revise revising 
become becoming 
provoke provoking 
confirm confirming 
admit admitting 
stand standing 
read reading 
empower empowering 
complete completing 
commence commencing 
verify verifying 
shoot shooting 
disclose disclosing 
reside residing 
wipe wiping 
trigger triggering 
resemble resembling 
delete deleting 
support supporting 
motivate motivating 
intervene intervening 
illuminate illuminating 
designate designating 
begin starting 
sing singing 
revive reviving 
shout shouting 
seek seeking 
yell yelling 
invest investing 
reopen reopening 
answer answering 
accelerate accelerating 
resolve resolving 
choke choking 
migrate migrating 
amend amending 
blame blaming 
affirm affirming 
shut shutting 
preach preaching 
recruit recruiting 
quit quitting 
validate validating 
moan moaning 
control controlling 
evolve evolving 
detect detecting 
confront confronting 
escape escaping 
exclude excluding 
beat beating 
solve solving 
remove removing 
explore exploring 
suck sucking 
succeed succeeding 
scan scanning 
enter entering 
realize realizing 
facilitate facilitating 
transform transforming 
handle handling 
portray portraying 
fulfill fulfilling 
rename renaming 
break breaking 
shake shaking 
hike hiking 
let letting 
characterize characterizing 
produce producing 
testify testifying 
divide dividing 
declare declaring 
reduce reducing 
enable enabling 
suggest suggesting 
distinguish distinguishing 
accommodate accommodating 
apply applying 
reproduce reproducing 
enrich enriching 
resist resisting 
accomplish accomplishing 
curb curbing 
meet meeting 
manipulate manipulating 
drink drinking 
expand expanding 
cultivate cultivating 
download downloading 
assemble assembling 
share sharing 
occupy occupying 
grab grabbing 
swear swearing 
occur occurring 
repair repairing 
gain gaining 
parse parsing 
survive surviving 
upload uploading 
possess possessing 
walk walking 
tell telling 
remember remembering 
disagree disagreeing 
cry crying 
unite uniting 
adopt adopting 
enact enacting 
behave behaving 
discuss discussing 
anticipate anticipating 
relate relating 
discover discovering 
rebuild rebuilding 
throw throwing 
defy defying 
destroy destroying 
reject rejecting 
categorize categorizing 
announce announcing 
reverse reversing 
formulate formulating 
undermine undermining 
interfere interfering 
ignore ignoring 
buy buying 
affect affecting 
surpass surpassing 
exploit exploiting 
switch switching 
persuade persuading 
starve starving 
denote denoting 
penetrate penetrating 
enhance enhancing 
restrain restraining 
conquer conquering 
lie lying 
imagine imagining 
kiss kissing 
finish finishing 
investigate investigating 
supervise supervising 
compose composing 
ask asking 
give giving 
strengthen strengthening 
activate activating 
bolster boosting 
copy copying 
fly flying 
grow growing 
streamline streamlining 
update updating 
convey conveying 
discourage discouraging 
navigate navigating 
participate participating 
indicate indicating 
leave leaving 
punish punishing 
extend extending 
create creating 
enjoy enjoying 
certify certifying 
reinforce reinforcing 
chase chasing 
happen happening 
monitor monitoring 
classify classifying 
renew renewing 
rewrite rewriting 
raise raising 
check checking 
introduce introducing 
attach attaching 
drown drowning 
merge merging 
undergo undergoing 
propose proposing 
enforce enforcing 
wrap wrapping 
dictate dictating 
mention mentioning 
draw drawing 
stick sticking 
publish publishing 
move moving 
acknowledge acknowledging 
bury burying 
deliver delivering 
defeat defeating 
steal stealing 
criticise criticising 
define defining 
require requiring 
protect protecting 
attribute attributing 
improve improving 
elect electing 
assert asserting 
simplify simplifying 
lift lifting 
know knowing 
continue continuing 
deploy deploying 
restrict restricting 
overcome overcoming 
tap tapping 
try trying 
beg begging 

