lecturer lecturers 
borrower borrowers 
supplier suppliers 
officer officers 
truck trucks 
follower followers 
temple temples 
car cars 
band bands 
apprentice apprentices 
academy academies 
Protestant Protestants 
container containers 
agency agencies 
bus buses 
marker markers 
neighborhood neighborhoods 
venue venues 
monster monsters 
musician musicians 
tomb tombs 
member members 
farmer farmers 
pub pubs 
youngster youngsters 
captain captains 
cabin cabins 
trainer trainers 
theorist theorists 
thinker thinkers 
auditor auditors 
secretary secretaries 
playground playgrounds 
hero heroes 
forest forests 
moron morons 
friend friends 
representative representatives 
Politician Politicians 
gallery galleries 
rabbi rabbis 
historian historians 
candidate candidates 
boat boats 
lab labs 
engineer engineers 
employee employees 
promoter promoters 
executive executives 
architect architects 
correspondent correspondents 
manuscript manuscripts 
protagonist protagonists 
organisation organisations 
diplomat diplomats 
translator translators 
tenant tenants 
weapon weapons 
theologian theologians 
province provinces 
payer payers 
priest priests 
spectator spectators 
regulator regulators 
partner partners 
reporter reporters 
athlete athletes 
congregation congregations 
loyalist loyalists 
stream streams 
fanatic fanatics 
accountant accountants 
blogger bloggers 
surgeon surgeons 
reservoir reservoirs 
president presidents 
campaigner campaigners 
nursery nurseries 
programmer programmers 
hut huts 
sailor sailors 
firefighter firefighters 
creature creatures 
newspaper newspapers 
country countries 
insurgent insurgents 
settlement settlements 
traveler travelers 
psychiatrist psychiatrists 
performer performers 
cruiser cruisers 
barn barns 
garage garages 
cousin cousins 
printer printers 
factory factories 
contributor contributors 
tank tanks 
builder builders 
client clients 
nation nations 
participant participants 
competitor competitors 
plantation plantations 
senator senators 
observer observers 
investor investors 
ferry ferries 
cottage cottages 
helper helpers 
artist artists 
creek creeks 
believer believers 
dealer dealers 
missionary missionaries 
community communities 
patient patients 
adviser advisers 
NGO NGOs 
judge judges 
jihadist jihadists 
Islamist Islamists 
rival rivals 
composer composers 
mosque mosques 
institution institutions 
intern interns 
fountain fountains 
analyst analysts 
Manager Managers 
seller sellers 
man men 
anthropologist anthropologists 
rider riders 
city cities 
unionist unionists 
geek geeks 
professor professors 
mall malls 
environmentalist environmentalists 
tourist tourists 
device devices 
station stations 
entertainer entertainers 
listener listeners 
reader readers 
columnist columnists 
shop shops 
commander commanders 
rebel rebels 
motorist motorists 
activist activists 
supermarket supermarkets 
spouse spouses 
archaeologist archaeologists 
college colleges 
laboratory laboratories 
wife wives 
issuer issuers 
enthusiast enthusiasts 
zoo zoos 
specialist specialists 
prison prisons 
campus campuses 
singer singers 
curator curators 
outfit outfits 
saint saints 
valley valleys 
clerk clerks 
tractor tractors 
site sites 
animal animals 
policeman policemen 
canal canals 
tutor tutors 
solicitor solicitors 
economist economists 
cave caves 
commune communes 
commenter commenters 
roof roofs 
person individuals 
writer writers 
advisor advisors 
comedian comedians 
stadium stadiums 
cleric clerics 
commissioner commissioners 
foe foes 
trader traders 
choir choirs 
preacher preachers 
lobbyist lobbyists 
wrestler wrestlers 
advocate advocates 
ministry ministries 
lender lenders 
bookstore bookstores 
racer racers 
carrier carriers 
caregiver caregivers 
adversary adversaries 
refinery refineries 
instructor instructors 
customer customers 
theatre theatres 
library libraries 
trailer trailers 
road roads 
detective detectives 
building buildings 
bishop bishops 
rapper rappers 
filmmaker filmmakers 
skeleton skeletons 
actor actors 
gangster gangsters 
villa villas 
dam dams 
director directors 
castle castles 
collector collectors 
fort forts 
specimen specimens 
attorney attorneys 
trustee trustees 
traveller travellers 
pastor pastors 
explorer explorers 
trainee trainees 
biologist biologists 
linguist linguists 
group groups 
airline airlines 
staffer staffers 
admin admins 
applicant applicants 
dean deans 
church churches 
antagonist antagonists 
astronomer astronomers 
ensemble ensembles 
companion companions 
technician technicians 
prosecutor prosecutors 
boss bosses 
fisherman fishermen 
controller controllers 
port ports 
speaker speakers 
constituency constituencies 
business businesses 
extremist extremists 
deity deities 
predator predators 
conductor conductors 
ally allies 
planner planners 
soldier soldiers 
interpreter interpreters 

