surpass surpassing 
freeze freezing 
polish polishing 
preach preaching 
contribute contributing 
favour favouring 
undermine undermining 
rename renaming 
attribute attributing 
stabilize stabilizing 
attract attracting 
create creating 
strengthen strengthening 
burn burning 
whip whipping 
anticipate anticipating 
demonstrate demonstrating 
remember remembering 
shape shaping 
honor honoring 
quit quitting 
rescue rescuing 
swear swearing 
expose exposing 
reply replying 
revert reverting 
engage engaging 
blame blaming 
pose posing 
intervene intervening 
take taking 
crush crushing 
commence commencing 
feed feeding 
arrive arriving 
assert asserting 
criticize criticizing 
assemble assembling 
hack hacking 
speak speaking 
find finding 
assume assuming 
validate validating 
control controlling 
reject rejecting 
establish establishing 
bounce bouncing 
originate originating 
incorporate incorporating 
interfere interfering 
slip slipping 
deprive depriving 
bolster boosting 
arrange arranging 
prescribe prescribing 
drop dropping 
dismiss dismissing 
grab grabbing 
surrender surrendering 
teach teaching 
submit submitting 
simulate simulating 
execute executing 
administer administering 
alter altering 
ask asking 
fix fixing 
investigate investigating 
maintain maintaining 
deliver delivering 
prosecute prosecuting 
weigh weighing 
modify modifying 
wipe wiping 
negotiate negotiating 
finish finishing 
generate generating 
weave weaving 
re-add re-adding 
tap tapping 
evaluate evaluating 
formulate formulating 
forge forging 
respect respecting 
tend tending 
urge urging 
invite inviting 
aim aiming 
handle handling 
stimulate stimulating 
mock mocking 
gather gathering 
emit emitting 
stick sticking 
retire retiring 
try trying 
lay laying 
empower empowering 
verify verifying 
simplify simplifying 
post posting 
pray praying 
measure measuring 
exceed exceeding 
kidnap kidnapping 
occupy occupying 
kill killing 
overlook overlooking 
mix mixing 
toss tossing 
transport transporting 
invent inventing 
import importing 
incur incurred 
cover covering 
categorize categorizing 
resist resisting 
flourish flourishing 
apply applying 
regain regained 
vandalize vandalizing 
preserve preserving 
plead pleading 
achieve achieving 
accept accepting 
operate operating 
burst bursting 
equate equating 
exclude excluding 
interpret interpreting 
repeat repeating 
pass passing 
convert converting 
fit fitting 
rise rising 
relax relaxing 
announce announcing 
bite biting 
provoke provoking 
govern governing 
chase chasing 
collaborate collaborating 
approve approving 
strip stripping 
drown drowning 
broaden broadening 
comprise constituting 
reside residing 
consume consuming 
sing singing 
disagree disagreeing 
contemplate contemplating 
forgive forgiving 
feel feeling 
nail nails 
compel compelled 

