suspect suspects 
terrace terraces 
pig pigs 
card cards 
winner winners 
Brit Brits 
blog blogs 
temple temples 
interpretation interpretations 
polymer polymers 
scientist scientists 
astronaut astronauts 
source sources 
badge badges 
tenant tenants 
saint saints 
Asian Asians 
poet poets 
teen teenagers 
farmer farmers 
audit audits 
fundraiser fundraisers 
survey surveys 
cow cows 
breeder breeders 
volume volumes 
ship ships 
holder holders 
dog dogs 
night nights 
american americans 
investigator investigators 
bot bots 
kitchen kitchens 
republican republicans 
faction factions 
supermarket supermarkets 
tributary tributaries 
compiler compilers 
lake lakes 
principle principles 
corpse corpses 
Teacher Teachers 
neuron neurons 
viewpoint viewpoints 
ramp ramps 
pitcher pitchers 
practitioner practitioners 
dish dishes 
Publisher Publishers 
attempt attempts 
Israeli Israelis 
pub pubs 
traveler travelers 
lawsuit lawsuits 
lane lanes 
transplant transplants 
bowl bowls 
mode modes 
skier skiers 
surgeon surgeons 
MP MPs 
organisation organisations 
activist activists 
skirt skirts 
jury jurors 
recipe recipes 
boxer boxers 
theatre theatres 
sector sectors 
presentation presentations 
refinery refineries 
donor donors 
relationship relationships 
family families 
tornado tornadoes 
palace palaces 
artery arteries 
comrade comrades 
tomato tomatoes 
whale whales 
agency agencies 
sausage sausages 
assistant assistants 
pharmacy pharmacies 
astronomer astronomers 
Australian Australians 
convoy convoys 
neighbour neighbours 
tale tales 
performer performers 
soul souls 
ministry ministries 
product products 
warehouse warehouses 
brother brothers 
potato potatoes 
ensemble ensembles 
founder founders 
descendant descendants 
semiconductor semiconductors 
exhibition exhibitions 
framework frameworks 
architect architects 
cadet cadets 
landlord landlords 
suggestion suggestions 
wikipedian wikipedians 
design designs 
skeleton skeletons 
atheist atheists 
observer observers 
pathway pathways 
PC PCs 
tumor tumors 
bathroom bathrooms 
subscriber subscribers 
table tables 
husband husbands 
soldier soldiers 
continent continents 
jar jars 
flyer flyers 
zombie zombies 
cowboy cowboys 
nationality nationalities 
ant ants 
bundle bundles 
city cities 
strawberry strawberries 
feature features 
ruler rulers 
meeting meetings 
style styles 
portrait portraits 
precinct precincts 
corridor corridors 
video videos 
acquaintance acquaintances 
ambassador ambassadors 
singer singers 
umpire umpires 
phrase phrases 
amateur amateurs 
quotation quotations 
Filipino Filipinos 
fountain fountains 
Human Humans 
roadway roadways 
machine machines 
pioneer pioneers 
war wars 
satellite satellites 
melody melodies 
tent tents 
consultant consultants 
pesticide pesticides 
pen pens 
producer producers 
ion ions 
river rivers 
implementation implementations 
agent agents 
clerk clerks 
vandal vandals 
cocktail cocktails 
item items 
tribe tribes 
type types 
metaphor metaphors 
dictatorship dictatorships 
frigate frigates 
woman women 
reactor reactors 
gland glands 
poster posters 
photograph photographs 
businessman businessmen 
browser browsers 
neighbourhood neighbourhoods 
planner planners 
spectator spectators 
billboard billboards 
teammate teammates 
trip trips 
robbery robberies 
comet comets 
habitat habitats 
programmer programmers 
sociologist sociologists 
jihadist jihadists 
accountant accountants 
christian christians 
picture pictures 
structure structures 
disaster disasters 
clergyman clergy 
commenter commenters 
script scripts 
Politician Politicians 
college colleges 
visitor visitors 
lecture lectures 
organism organisms 
partner partners 
organization organizations 
notebook notebooks 
feminist feminists 
separatist separatists 
cook cooks 
fundamentalist fundamentalists 
Marxist Marxists 
pattern patterns 
coat coats 
cat cats 
transistor transistors 
tile tiles 
firearm firearms 
executive executives 
desktop desktops 
Christian Christians 
body bodies 
superstar superstars 
hut huts 
conductor conductors 
lunch lunches 
trend trends 
Actor Actors 
trader traders 
apprentice apprentices 
newspaper newspapers 
team teams 
adversary adversaries 
keeper keepers 
Brazilian Brazilians 
crew crews 
network networks 
gesture gestures 
forum forums 
bank banks 
Hindu Hindus 
component components 
quiz quizzes 
island islands 
realm realms 
convict convicts 
murderer murderers 
congregation congregations 
merchant merchants 
technology technologies 
shooter shooters 
solicitor solicitors 
association associations 
linguist linguists 
companion companions 
monument monuments 
door doors 
clone clones 
gay gays 
insurgent insurgents 
canal canals 
volunteer volunteers 
horse horses 
predator predators 
god gods 
prosecution prosecutions 
leaflet leaflets 
creditor creditors 
hospital hospitals 
turkey turkeys 
tyre tyres 
citizen citizens 
paper papers 
receptor receptors 
commodity commodities 
soundtrack soundtracks 
Indonesian Indonesians 
plaintiff plaintiffs 
bug bugs 
club clubs 
cube cubes 
descriptor descriptors 
monarch monarchs 
document documents 
calculator calculators 
dispute disputes 
Polish Poles 
toddler toddlers 
bookstore bookstores 
nationalist nationalists 
selfie selfies 
representation representations 
boat boats 
destination destinations 
drug drugs 
transmitter transmitters 
road roads 
European Europeans 
cousin cousins 
pistol pistols 
biography biographies 
prize prizes 
museum museums 
channel channels 
instrument instruments 
scheme schemes 
cup cups 
coil coils 
airline airlines 
transaction transactions 
stadium stadiums 
pencil pencils 
player players 
interface interfaces 
hill hills 
store stores 
kit kits 
towel towels 
terrorist terrorists 
critic critics 
administration administrations 
algorithm algorithms 
engine engines 
Tory Tories 
locale locales 
prison prisons 
curve curves 
judge judges 
jumper jumpers 
lesbian lesbians 
Palestinian Palestinians 
launcher launchers 
lineage lineages 
recipient recipients 
colleague colleagues 
tube tubes 
nurse nurses 
licence licences 
coordinator coordinators 
endorsement endorsements 
parody parodies 
plot plots 
adviser advisers 
sticker stickers 
owner owners 
hotel hotels 
train trains 
monk monks 
investment investments 
mineral minerals 
restaurant restaurants 
dye dyes 
film films 
genome genomes 
preacher preachers 
weapon weapons 
locomotive locomotives 
patient patients 
path paths 
reference references 
socialist socialists 
beast beasts 
him them 
country countries 
website websites 
broadcast broadcasts 
turtle turtles 
weekend weekends 
cancer cancers 
killer killers 
mill mills 
child children 
column columns 
firefighter firefighters 
airplane airplanes 
correspondent correspondents 
helmet helmets 
robber robbers 
farm farms 
anthropologist anthropologists 
demonstration demonstrations 
stereotype stereotypes 
person people 
bullet bullets 
addict addicts 
monkey monkeys 
aspect aspects 
man men 
mutant mutants 
economist economists 
period periods 
resident residents 
environment environments 
dentist dentists 
worker workers 
diner diners 
miner miners 
occupant occupants 
crater craters 
gadget gadgets 
X-ray X-rays 
class classes 
legislator legislators 
auditor auditors 
Developer Developers 
auction auctions 
African-American African-Americans 
gallery galleries 
Dem Dems 
customer customers 
package packages 
village villages 
rep reps 
triumph triumphs 
shaft shafts 
position positions 
wedding weddings 
pedestrian pedestrians 
Briton Britons 
American Americans 
book books 
yard yards 
center centers 
council councils 
method methods 
pal pals 
monograph monographs 
lawn lawns 
level levels 
bee bees 
cartoon cartoons 
speaker speakers 
court courts 
queen queens 
massacre massacres 
prostitute prostitutes 
bomber bombers 
trait traits 
sniper snipers 
girl girls 
locality localities 
job jobs 
answer answers 
Bulgarian Bulgarians 
dragon dragons 
battery batteries 
jewel jewels 
male males 
strategist strategists 
staffer staffers 
role roles 
fan fans 
homeowner homeowners 
head heads 
graph graphs 
widget widgets 
Agent Agents 
hierarchy hierarchies 
bunker bunkers 
Department Departments 
mansion mansions 
subsystem subsystems 
guerrilla guerrillas 
plane planes 
match matches 
possibility possibilities 
hymn hymns 
explanation explanations 
diploma diplomas 
provider providers 
politician politicians 
classification classifications 
event events 
Engineer Engineers 
novelist novelists 
subscription subscriptions 
asteroid asteroids 
panel panels 
torpedo torpedoes 
sister sisters 
tractor tractors 
writer writers 
skull skulls 
doll dolls 
hero heroes 
mosquito mosquitoes 
philosophy philosophies 
battalion battalions 
idea ideas 
castle castles 
contestant contestants 
venture ventures 
pillow pillows 
pipe pipes 
youngster youngsters 
excavation excavations 
signal signals 
attitude attitudes 
environmentalist environmentalists 
version versions 
prisoner prisoners 
membrane membranes 
clan clans 
anomaly anomalies 
skyscraper skyscrapers 
frog frogs 
surname surnames 
enzyme enzymes 
studio studios 
recorder recorders 
interpreter interpreters 
mouse mice 
alien aliens 
Officer Officers 
message messages 
ceremony ceremonies 
sponsor sponsors 
storyline storylines 
Californian Californians 
bishop bishops 
portal portals 
Administrator Administrators 
settler settlers 
railway railways 
Arab Arabs 
scout scouts 
robot robots 
methodology methodologies 
journalist journalists 
footballer footballers 
racer racers 
kitten kittens 
birthday birthdays 
gateway gateways 
pensioner pensioners 
theorist theorists 
CD CDs 
commissioner commissioners 
individual individuals 
demon demons 
embryo embryos 
battle battles 
nightclub nightclubs 
geek geeks 
contest contests 
label labels 
lad lads 
manifestation manifestations 
Leader Leaders 
champion champions 
vehicle vehicles 
Finnish Finns 
wolf wolves 
lawmaker lawmakers 
roof roofs 
German Germans 
screenshot screenshots 
diver divers 
budget budgets 
bulletin bulletins 
scandal scandals 
identity identities 
reader readers 
advertisement advertisements 
contributor contributors 
Customer Customers 
swimmer swimmers 
fence fences 
vendor vendors 
pastor pastors 
commuter commuters 
certificate certificates 
brand brands 
context contexts 
sidewalk sidewalks 
deck decks 
layout layouts 
bulb bulbs 
specimen specimens 
orbit orbits 
resource resources 
rider riders 
booth booths 
program programs 
assembly assemblies 
album albums 
therapist therapists 
crane cranes 
gem gems 
learner learners 
zoo zoos 
proposal proposals 
entrepreneur entrepreneurs 
pixel pixels 
forest forests 
advert adverts 
constitution constitutions 
shop shops 
meaning meanings 
string strings 
lender lenders 
nun nuns 
ref refs 
communist communists 
shrine shrines 
medication medications 
race races 
employer employers 
plant plants 
tanker tankers 
regime regimes 
squadron squadrons 
location locations 
classroom classrooms 
ball balls 
occupation occupations 
business businesses 
cluster clusters 
priest priests 
textile textiles 
thug thugs 
creator creators 
Mexican Mexicans 
tank tanks 
one ones 
battleship battleships 
cellphone cellphones 
devil devils 
lawyer lawyers 
designation designations 
shower showers 
textbook textbooks 
railroad railroads 
villa villas 
workstation workstations 
miracle miracles 
console consoles 
bowler bowlers 
connector connectors 
compilation compilations 
banker bankers 
wrestler wrestlers 
insider insiders 
antagonist antagonists 
folder folders 
ferry ferries 
supplier suppliers 
mayor mayors 
Sikh Sikhs 
groove grooves 
appliance appliances 
remedy remedies 
patron patrons 
acronym acronyms 
councillor councillors 
beetle beetles 
contender contenders 
mouth mouths 
logo logos 
ceiling ceilings 
edition editions 
Korean Koreans 
header headers 
highway highways 
lover lovers 
pump pumps 
snail snails 
organiser organisers 
vine vines 
route routes 
meal meals 
girlfriend girlfriends 
collection collections 
floor floors 
society societies 
buddy buddies 
ally allies 
shortage shortages 
hoax hoaxes 
entrance entrances 
dialect dialects 
Republican Republicans 
municipality municipalities 
repository repositories 
tunnel tunnels 
rat rats 
wire wires 
mother mothers 
Author Authors 
son sons 
debate debates 
marker markers 
Catholic Catholics 
neutron neutrons 
cage cages 
grandmother grandparents 
tournament tournaments 
candidate candidates 
enterprise enterprises 
adult adults 
gangster gangsters 
creature creatures 
publication publications 
Syrian Syrians 
chemical chemicals 
dome domes 
laser lasers 
Soldier Soldiers 
skeptic skeptics 
dynasty dynasties 
Socialist Socialists 
user users 
Nationalist Nationalists 
entertainer entertainers 
triangle triangles 
rapper rappers 
quote quotes 
leftist leftists 
seal seals 
home homes 
neighborhood neighborhoods 
nation nations 
stream streams 
journey journeys 
office offices 
raid raids 
leader leaders 
rabbit rabbits 
Soviet Soviets 
pledge pledges 
migrant migrants 
subsidiary subsidiaries 
subdivision subdivisions 
unit units 
payer payers 
newcomer newcomers 
university universities 
perpetrator perpetrators 
slum slums 
aide aides 
cemetery cemeteries 
lens lenses 
camp camps 
township townships 
victim victims 
reviewer reviewers 
uprising uprisings 
newsletter newsletters 
this these 
diagram diagrams 
ritual rituals 
nazi nazis 
infrastructure infrastructures 
truck trucks 
outlet outlets 
muscle muscles 
prototype prototypes 
Shiite Shiites 
purchaser purchasers 
chief chiefs 
galaxy galaxies 
researcher researchers 
guitar guitars 
theory theories 
immigrant immigrants 
peasant peasants 
celebrity celebrities 
stunt stunts 
fort forts 
Croat Croats 
procedure procedures 
oyster oysters 
sect sects 
widow widows 
computer computers 
daughter daughters 
photon photons 
army armies 
coin coins 
periodical periodicals 
sock socks 
motor motors 
option options 
personality personalities 
narrative narratives 
sphere spheres 
expert experts 
laptop laptops 
nut nuts 
automobile automobiles 
socket sockets 
dilemma dilemmas 
Parent Parents 
rapist rapists 
lion lions 
candle candles 
vacation vacations 
tree trees 
professor professors 
geologist geologists 
cell cells 
psychologist psychologists 
intermediary intermediaries 
wife wives 
lefty lefties 
ride rides 
charity charities 
mall malls 
salad salads 
description descriptions 
lord lords 
definition definitions 
organ organs 
denomination denominations 
Austrian Austrians 
libertarian libertarians 
Pakistani Pakistanis 
substrate substrates 
fleet fleets 
password passwords 
handgun handguns 
URL URLs 
duck ducks 
cinema cinemas 
catalogue catalogues 
artist artists 
lady ladies 
operative operatives 
situation situations 
desk desks 
wetland wetlands 
Democrat Democrats 
nominee nominees 
striker strikers 
Afghan Afghans 
Libyan Libyans 
classmate classmates 
prince princes 
depiction depictions 
brochure brochures 
entity entities 
batsman batsmen 
eagle eagles 
inspection inspections 
admin admins 
cricketer cricketers 
trophy trophies 
taxon taxa 
developer developers 
factory factories 
contractor contractors 
fatality fatalities 
opponent opponents 
commentator commentators 
liar liars 
attorney attorneys 
seller sellers 
Nurse Nurses 
username usernames 
translation translations 
capsule capsules 
costume costumes 
painter painters 
wagon wagons 
Member Members 
songwriter songwriters 
government governments 
incident incidents 
participant participants 
radar radars 
intervention interventions 
factor factors 
disk disks 
baron barons 
centre centres 
handset handsets 
dissident dissidents 
boy boys 
ISP ISPs 
revolutionary revolutionaries 
claimant claimants 
molecule molecules 
villain villains 
belief beliefs 
episode episodes 
app apps 
trustee trustees 
librarian librarians 
mound mounds 
victory victories 
Musician Musicians 
fertilizer fertilizers 
goat goats 
symposium symposia 
bull bulls 
server servers 
enclosure enclosures 
Russian Russians 
inventor inventors 
cottage cottages 
athlete athletes 
translator translators 
disc discs 
passage passages 
beam beams 
bucket buckets 
voter voters 
utility utilities 
hurricane hurricanes 
believer believers 
band bands 
compartment compartments 
basin basins 
workplace workplaces 
examiner examiners 
game games 
particle particles 
sword swords 
plaque plaques 
essay essays 
Patient Patients 
confrontation confrontations 
rocket rockets 
distributor distributors 
funeral funerals 
voyage voyages 
hypothesis hypotheses 
scenario scenarios 
fascist fascists 
curriculum curricula 
Commissioner Commissioners 
atom atoms 
way ways 
burial burials 
slogan slogans 
artifact artifacts 
member members 
jewish jews 
degree degrees 
school schools 
generator generators 
respondent respondents 
mate mates 
fragment fragments 
Minister Ministers 
trail trails 
mercenary mercenaries 
kid kids 
rod rods 
CEO CEOs 
Artist Artists 
webpage webpages 
object objects 
SUV SUVs 
intersection intersections 
granddaughter grandchildren 
carcass carcasses 
refugee refugees 
chicken chickens 
Body Bodies 
crocodile crocodiles 
enthusiast enthusiasts 
engineer engineers 
knife knives 
accident accidents 
layer layers 
missionary missionaries 
catalog catalogs 
traveller travellers 
conspiracy conspiracies 
disciple disciples 
Romanian Romanians 
listener listeners 
symbol symbols 
survivor survivors 
lab labs 
hole holes 
piece pieces 
hunter hunters 
committee committees 
genus genera 
menu menus 
cart carts 
church churches 
cleric clerics 
edge edges 
district districts 
shirt shirts 
valley valleys 
license licenses 
viewer viewers 
African Africans 
inscription inscriptions 
passport passports 
Sunni Sunnis 
landslide landslides 
rabbi rabbis 
magistrate magistrates 
notion notions 
tyrant tyrants 
patch patches 
reservoir reservoirs 
Tibetan Tibetans 
clinic clinics 
Owner Owners 
choir choirs 
tourist tourists 
firewall firewalls 
image images 
bidder bidders 
song songs 
master masters 
licensee licensees 
electron electrons 
indicator indicators 
Aussie Aussies 
screen screens 
installation installations 
disturbance disturbances 
mosque mosques 
group groups 
novel novels 
chapter chapters 
calf calves 
homosexual homosexuals 
journal journals 
processor processors 
statue statues 
motorcycle motorcycles 
Admin Admins 
doctrine doctrines 
moth moths 
tower towers 
node nodes 
rescue rescuers 
tradition traditions 
shrub shrubs 
terminal terminals 
valve valves 
dam dams 
storm storms 
enemy enemies 
democrat democrats 
collector collectors 
electrode electrodes 
boss bosses 
antibiotic antibiotics 
spider spiders 
parasite parasites 
memorial memorials 
ridge ridges 
barrel barrels 
sailor sailors 
territory territories 
reputation reputations 
cult cults 
legislature legislatures 
fanatic fanatics 
cartridge cartridges 
automaker automakers 
monster monsters 
infection infections 
graduate graduates 
actress actresses 
Swedish Swedes 
zone zones 
rally rallies 
rival rivals 
balloon balloons 
mortgage mortgages 
witch witches 
trainer trainers 
worm worms 
model models 
diagnosis diagnoses 
pet pets 
surface surfaces 
martyr martyrs 
campaign campaigns 
guest guests 
carpet carpets 
avenue avenues 
town towns 
copy copies 
argument arguments 
paragraph paragraphs 
cone cones 
grid grids 
festival festivals 
shield shields 
salary salaries 
mortar mortars 
misunderstanding misunderstandings 
Canadian Canadians 
mountain mountains 
coral corals 
helper helpers 
ward wards 
newbie newbies 
Tamil Tamils 
runner runners 
capitalist capitalists 
industry industries 
newborn newborns 
allegation allegations 
representative representatives 
analyst analysts 
Hispanic Hispanics 
marriage marriages 
formulation formulations 
professional professionals 
loan loans 
Editor Editors 
glacier glaciers 
Father Fathers 
protein proteins 
party parties 
guardian guardians 
invasion invasions 
Kurdish Kurds 
bigoted bigots 
sketch sketches 
ingredient ingredients 
captain captains 
character characters 
session sessions 
ideology ideologies 
masterpiece masterpieces 
crisis crises 
loyalist loyalists 
arbitrator arbitrators 
handler handlers 
yacht yachts 
iPhone iPhones 
dictator dictators 
fight fights 
phenomenon phenomena 
bus buses 
nest nests 
Advisor Advisors 
application applications 
bed beds 
shell shells 
phone phones 
Woman Women 
report reports 
disagreement disagreements 
submarine submarines 
mask masks 
airport airports 
exporter exporters 
theologian theologians 
veterinarian veterinarians 
Hungarian Hungarians 
boiler boilers 
dinner dinners 
Muslim Muslims 
Czech Czechs 
sermon sermons 
prophet prophets 
proposition propositions 
filter filters 
recording recordings 
clown clowns 
Team Teams 
treasure treasures 
campaigner campaigners 
student students 
filmmaker filmmakers 
anthology anthologies 
circuit circuits 
defender defenders 
format formats 
technique techniques 
organizer organizers 
cruiser cruisers 
Latino Latinos 
pyramid pyramids 
criminal criminals 
toxin toxins 
creek creeks 
shareholder shareholders 
regiment regiments 
explorer explorers 
spelling spellings 
publisher publishers 
rodent rodents 
sheet sheets 
station stations 
conversation conversations 
philosopher philosophers 
landscape landscapes 
counselor counselors 
barge barges 
delegation delegations 
star stars 
perspective perspectives 
protester protesters 
militant militants 
inmate inmates 
dinosaur dinosaurs 
operator operators 
market markets 
collision collisions 
Scottish Scots 
strategy strategies 
Jew Jews 
medal medals 
pool pools 
puppet puppets 
therapy therapies 
finalist finalists 
problem problems 
Ukrainian Ukrainians 
detector detectors 
barn barns 
pathogen pathogens 
taxi taxis 
jacket jackets 
deposit deposits 
barnstar barnstars 
camel camels 
manager managers 
kingdom kingdoms 
deity deities 
grenade grenades 
microbial microbes 
vector vectors 
port ports 
plan plans 
black blacks 
pupil pupils 
musician musicians 
tram trams 
solution solutions 
warship warships 
historian historians 
Liberal Liberals 
Indian Indians 
DJ DJs 
accusation accusations 
prosecutor prosecutors 
bedroom bedrooms 
bacterium bacteria 
client clients 
entry entries 
sensor sensors 
senator senators 
reef reefs 
dancer dancers 
competitor competitors 
window windows 
title titles 
pasture pastures 
mediator mediators 
fox foxes 
thinker thinkers 
chef chefs 
Cuban Cubans 
theater theaters 
name names 
Director Directors 
statement statements 
foe foes 
issue issues 
moderator moderators 
pope popes 
commander commanders 
ecosystem ecosystems 
celebration celebrations 
appointment appointments 
nickname nicknames 
cheese cheeses 
consumer consumers 
cavity cavities 
ordinance ordinances 
identifier identifiers 
area areas 
intruder intruders 
insurer insurers 
router routers 
bike bikes 
flag flags 
diocese dioceses 
illustration illustrations 
opera operas 
snake snakes 
microphone microphones 
bicycle bicycles 
billionaire billionaires 
buyer buyers 
pharmacist pharmacists 
diary diaries 
article articles 
Journalist Journalists 
flower flowers 
advocate advocates 
toilet toilets 
driver drivers 
tattoo tattoos 
matrix matrices 
slope slopes 
receiver receivers 
reality realities 
formula formulas 
concept concepts 
stakeholder stakeholders 
defendant defendants 
human humans 
tour tours 
Conservative Conservatives 
room rooms 
crop crops 
pod pods 
campus campuses 
conflict conflicts 
commune communes 
discourse discourses 
motif motifs 
minority minorities 
applicant applicants 
region regions 
dealer dealers 
division divisions 
insect insects 
currency currencies 
concert concerts 
spot spots 
bath baths 
religion religions 
directory directories 
orchard orchards 
bat bats 
beach beaches 
pamphlet pamphlets 
loser losers 
GP GPs 
orchestra orchestras 
myth myths 
doctor doctors 
passenger passengers 
speech speeches 
fighter fighters 
intern interns 
assassin assassins 
woodland woodlands 
embassy embassies 
troll trolls 
muslim muslims 
waterway waterways 
site sites 
lizard lizards 
feather feathers 
Child Children 
Danish Danes 
pier piers 
agenda agendas 
project projects 
conservative conservatives 
hacker hackers 
company companies 
telephone telephones 
meadow meadows 
evangelical evangelicals 
tribunal tribunals 
workshop workshops 
photographer photographers 
variant variants 
emperor emperors 
butterfly butterflies 
moron morons 
burger burgers 
registry registries 
nonprofit nonprofits 
junction junctions 
scam scams 
turbine turbines 
endeavor endeavors 
garment garments 
undergraduate undergraduates 
author authors 
Assyrian Assyrians 
map maps 
assumption assumptions 
apartment apartments 
servant servants 
stranger strangers 
financier financiers 
prediction predictions 
patriot patriots 
clause clauses 
protagonist protagonists 
cap caps 
virus viruses 
promoter promoters 
laboratory laboratories 
wine wines 
spreadsheet spreadsheets 
citation citations 
evening evenings 
outbreak outbreaks 
element elements 
corporation corporations 
initiative initiatives 
Nazi Nazis 
sockpuppet sockpuppets 
summit summits 
gown gowns 
missile missiles 
platform platforms 
comedian comedians 
cable cables 
nursery nurseries 
physicist physicists 
bird birds 
device devices 
squad squads 
sub subs 
estate estates 
gentleman gentlemen 
Spanish Spaniards 
extremist extremists 
seminar seminars 
empire empires 
whistleblower whistleblowers 
Greek Greeks 
postcard postcards 
container containers 
waterfall waterfalls 
hypocrite hypocrites 
cookie cookies 
borough boroughs 
parliamentary parliamentarians 
creationist creationists 
racist racists 
diamond diamonds 
freshman freshmen 
printer printers 
profile profiles 
caregiver caregivers 
cyclist cyclists 
cannon cannons 
profession professions 
reporter reporters 
columnist columnists 
foreigner foreigners 
dad dads 
advisor advisors 
pirate pirates 
toy toys 
Islamist Islamists 
outfit outfits 
supervisor supervisors 
Manager Managers 
lobbyist lobbyists 
academy academies 
province provinces 
partisan partisans 
Italian Italians 
painting paintings 
contract contracts 
residence residences 
traitor traitors 
approach approaches 
car cars 
reptile reptiles 
fairy fairies 
section sections 
lesion lesions 
gunman gunmen 
superhero superheroes 
biologist biologists 
wall walls 
ancestor ancestors 
dolphin dolphins 
trainee trainees 
garage garages 
shoe shoes 
owl owls 
keyboard keyboards 
telescope telescopes 
cabin cabins 
retailer retailers 
unionist unionists 
lecturer lecturers 
curator curators 
maker makers 
calendar calendars 
Turkish Turks 
protocol protocols 
taxpayer taxpayers 
vineyard vineyards 
anarchist anarchists 
neighbor neighbors 
Georgian Georgians 
alumnus alumni 
Persian Persians 
instance instances 
gene genes 
vegetable vegetables 
moon moons 
tutor tutors 
idol idols 
carpenter craftsmen 
Conference Conferences 
builder builders 
composer composers 
topic topics 
smartphone smartphones 
institution institutions 
heir heirs 
psychiatrist psychiatrists 
Slavic Slavs 
system systems 
hall halls 
coating coatings 
