

botany botanist botanists 
retailing retailer retailers 
gaming gamer gamers 
fishing fisherman fishermen 
scouting scout scouts 
jurisprudence jurist jurists 
Production Producer Producers 
boxing boxer boxers 
legislative legislator legislators 
organizing organizer organizers 
statistical statistician statisticians 
broadcasting broadcaster broadcasters 
riding rider riders 
evangelism evangelist evangelists 
chemistry chemist chemists 
adventure adventurer adventurers 
banking banker bankers 
practice practitioner practitioners 
pediatrics pediatrician pediatricians 
cartoons cartoonist cartoonists 
design designer designers 
exporting exporter exporters 
construction builder builders 
walking walker walkers 
campaigning campaigner campaigners 
manufacturing manufacturer manufacturers 
prostitution prostitute prostitutes 
sponsoring sponsor sponsors 
betting bookmaker bookmakers 
teaching teacher teachers 
rapping rapper rappers 
propaganda propagandist propagandists 
architecture architect architects 
theatre playwright playwrights 
painting painter painters 
science scientist scientists 
paleontology paleontologist paleontologists 
cheerleading cheerleader cheerleaders 
lecturing lecturer lecturers 
sport sportsman sportsmen 
marketing marketer marketers 
anthropology anthropologist anthropologists 
midwifery midwife midwives 
theory theorist theorists 
piano pianist pianists 
cycling cyclist cyclists 
pharmacy pharmacist pharmacists 
therapy therapist therapists 
storytelling storyteller storytellers 
athletics athlete athletes 
mining miner miners 
consulting consultant consultants 
craftsmanship craftsman craftsmen 
plumbing plumber plumbers 
carpentry carpenter carpenters 
management manager managers 
diplomacy diplomat diplomats 
coaching coach coaches 
diving diver divers 
gambling gambler gamblers 
mediation mediator mediators 
sales salesperson salespeople 
shopping shopper shoppers 
counseling counselor counselors 
cooking chef chefs 
writing writer writers 
nutrition nutritionist nutritionists 
surveying surveyor surveyors 
narration narrator narrators 
programming programmer programmers 
psychology psychologist psychologists 
blogging blogger bloggers 
racing racer racers 
innovation innovator innovators 
advertising advertiser advertisers 
gymnastics gymnast gymnasts 
comedy comedian comedians 
sale seller sellers 
skating skater skaters 
sculpture sculptor sculptors 
ecology ecologist ecologists 
law lawyer lawyers 
education educator educators 
neuroscience neuroscientist neuroscientists 
smoking smoker smokers 
engineering engineer engineers 
sprinting sprinter sprinters 
training trainer trainers 
football footballer footballers 
screenwriting screenwriter screenwriters 
conservation conservationist conservationists 
sailing sailor sailors 
politics politician politicians 
skiing skier skiers 
animation animator animators 
production producer producers 
meteorology meteorologist meteorologists 
analysis analyst analysts 
business businessman businessmen 
gardening gardener gardeners 
development developer developers 
music musician musicians 
game player players 
military soldier soldiers 
veterinary veterinarian veterinarians 
planning planner planners 
neurology neurologist neurologists 
inspection inspector inspectors 
sociology sociologist sociologists 





researcher researchers research 
sociologist sociologists sociology 
illustrator illustrators illustrations 
presenter presenters presentations 
broadcaster broadcasters broadcasts 
sculptor sculptors sculptures 
ecologist ecologists ecology 
meteorologist meteorologists meteorology 
activist activists activism 
preacher preachers sermons 
geologist geologists geology 
scholar scholars scholarship 
astronomer astronomers astronomy 
guitarist guitarists solos 
theorist theorists theories 
educator educators education 
instructor instructors courses 
strategist strategists strategy 
evaluator evaluators evaluations 
historian historians historiography 
musician musicians concerts 
investor investors investments 
screenwriter screenwriters screenplays 
songwriter songwriters songs 
comedian comedians skits 
ideologue ideologues ideology 
filmmaker filmmakers films 
designer designers designs 
dentist dentists dentistry 
aviator aviators aviation 
inspector inspectors inspections 
environmentalist environmentalists environmentalism 
psychologist psychologists psychology 
archaeologist archaeologists excavations 
performer performers performances 
novelist novelists novels 
reformer reformers reforms 
pharmacist pharmacists pharmacy 
clinician clinicians clinical 
auditor auditors audits 
businessman businessmen business 
commentator commentators commentaries 
physicist physicists physics 
crusader crusaders crusades 
propagandist propagandists propaganda 
accountant accountants accounting 
politician politicians politics 
blogger bloggers blogs 
linguist linguists linguistics 
interviewer interviewers interviews 
sportsman sportsmen sport 
jurist jurists jurisprudence 
astrologer astrologers astrology 
inventor inventors inventions 
Politician Politicians Politics 
lecturer lecturers lectures 
footballer footballers football 
neuroscientist neuroscientists neuroscience 
playwright playwrights dramas 
columnist columnists editorials 
surgeon surgeons surgery 
nutritionist nutritionists nutrition 
philosopher philosophers philosophy 
botanist botanists botany 
psychiatrist psychiatrists psychiatry 
biographer biographers memoirs 
feminist feminists feminism 
doctor doctors medicine 
dancer dancers dances 
pathologist pathologists pathology 
observer observers observations 
examiner examiners examinations 
explorer explorers explorations 
biologist biologists biology 
author authors books 
geneticist geneticists genetics 
architect architects buildings 
racer racers racing 
cartoonist cartoonists cartoons 
animator animators animations 
paleontologist paleontologists paleontology 
engineer engineers engineering 
banker bankers banking 
chemist chemists chemistry 
scientist scientists science 
reviewer reviewers reviews 
journalist journalists journalism 
drummer drummers drums 
entrepreneur entrepreneurs ventures 
surveyor surveyors surveys 
geographer geographers geography 
poet poets poems 
creator creators creations 
technologist technologists technology 
leader leaders leadership 
campaigner campaigners campaigns 
producer producers productions 
neurologist neurologists neurology 
pianist pianists sonatas 
economist economists economics 
writer writers writings 
investigator investigators investigations 
therapist therapists therapy 
composer composers compositions 
commenter commenters comments 
photographer photographers photographs 
adventurer adventurers adventures 
choreographer choreographers ballets 
curator curators exhibitions 
counselor counselors counseling 
editor editors articles 
philanthropist philanthropists philanthropy 
innovator innovators innovations 
anthropologist anthropologists anthropology 
pediatrician pediatricians pediatrics 
mathematician mathematicians mathematics 
theologian theologians theology 
assessor assessors assessments 
critic critics criticism 
painter painters paintings 
protester protesters protests 
statistician statisticians statistics 
tester testers tests 
conservationist conservationists conservation 
Author Authors Books 
diplomat diplomats diplomacy 
minister ministers ministry 
advocate advocates advocacy 





registrant registrants registration registrations 
explorer explorers exploration explorations 
gardener gardeners garden gardens 
archaeologist archaeologists excavation excavations 
investigator investigators investigation investigations 
sculptor sculptors sculpture sculptures 
illustrator illustrators illustration illustrations 
cartoonist cartoonists cartoon cartoons 
assessor assessors assessment assessments 
inspector inspectors inspection inspections 
critic critics criticism criticisms 
subscriber subscribers subscription subscriptions 
conqueror conquerors conquest conquests 
practitioner practitioners practice practices 
presenter presenters programme programmes 
theorist theorists theory theories 
auditor auditors audit audits 
technologist technologists technology technologies 
applicant applicants application applications 
surveyor surveyors survey surveys 
innovator innovators innovation innovations 
collector collectors collection collections 
designer designers design designs 
comedian comedians comedy comedies 
curator curators exhibition exhibitions 
inventor inventors invention inventions 
examiner examiners examination examinations 
reviewer reviewers review reviews 
trainer trainers training trainings 
commentator commentators commentary commentaries 
performer performers performance performances 
writer writers writing writings 
evaluator evaluators evaluation evaluations 
adventurer adventurers adventure adventures 
animator animators animation animations 
painter painters painting paintings 
filmmaker filmmakers film films 
creator creators creation creations 
songwriter songwriters song songs 
observer observers observation observations 
producer producers production productions 
author authors book books 



psychological psychology psychologist 
geographical geography geographer 
philosophical philosophy philosopher 
archaeological archaeology archaeologist 
linguistic linguistics linguist 
zoological zoology zoologist 
astronomical astronomy astronomer 
neurological neurology neurologist 
biochemical biochemistry biochemist 
physiological physiology physiologist 
biological biology biologist 
geological geology geologist 
astrological astrology astrologer 
theological theology theologian 
meteorological meteorology meteorologist 
chemical chemistry chemist 


printmaking printmaker 
anthropology anthropologist 
astronomy astronomer 
dentistry dentist 
paleontology paleontologist 
physiology physiologist 
theology theologian 
microbiology microbiologist 
genetics geneticist 
geography geographer 
journalism journalist 
animations animator 
archaeology archaeologist 
geology geologist 
psychology psychologist 
sociology sociologist 
naturalism naturalist 
psychiatry psychiatrist 
zoology zoologist 
literature poet 
federalism federalist 
researched researcher 
accompaniment accompanist 
philosophy philosopher 
neurology neurologist 
meteorology meteorologist 
filmmaking filmmaker 
astrology astrologer 
biochemistry biochemist 
cinematography cinematographer 
painting painter 
astrophysics astrophysicist 
photography photographer 
piano pianist 
music musician 
calvinism calvinist 
engineering engineer 
surrealism surrealist 
biology biologist 
linguistics linguist 
choreography choreographer 
juris jurist 
chemistry chemist 
physics physicist 
cartography cartographer 
mathematics mathematician 
economics economist 
illustration illustrator 


anarchist anarchism 
marxist marxism 
communist communism 
surrealist surrealism 
conservationist conservatism 
mathematician mathematics 
nationalist nationalism 
socialist socialism 
zionist zionism 
expressionist expressionism 
anthropologist anthropology 
minimalist minimalism 
modernist modernism 
naturalist naturalism 
theologian theology 
environmentalist environmentalism 
physicist physics 
philosopher philosophy 
realist realism 
capitalist capitalism 
calvinist calvinism 
feminist feminism 
activist activism 
federalist federalism 
economist economics 
separatist separatism 
impressionist impressionism 
humanist humanism 
psychologist psychology 


socialism anarchism capitalism nationalism 
socialist anarchist capitalist nationalist 
socialists anarchists capitalists nationalists


piano violin clarinet cello guitar saxophone drums
pianist violinist clarinetist cellists guitarist saxophonist drummer


books literature writers 
poems poetry poets 



founded founder 
owned owner 
designed designer 
co-founded co-founder 
presented presenter 
arranged arranger 
co-written co-writer 
composed composer 
distributed distributor 
produced producer 
campaigned campaigner 
co-hosted co-host 
entertained entertainer 
pioneered pioneer 
invented inventor 
manufactured manufacturer 
created creator 
managed manager 
developed developer 
broadcasted broadcaster 

movie movies actors 
novel novels writers 
song songs singers 


realist nationalist federalist realist communist liberal anarchist republican conservative socialist fascist naturalist surrealist
realism nationalism federalism realism communism liberalism anarchism republicanism conservatism socialism fascism naturalism surrealism
realists nationalists federalists realists communists liberals anarchists republicans conservatives socialists fascists naturalists surrealists

psychiatric psychiatrist psychiatry 
neurological neurologist neurology 

astronomy geology palaeontology 
astronomers geologists palaeontologists 

paintings paint painters 
compositions compose composers 

skating cycling weightlifting 
skater cyclist weightlifter 

guitar bass drums 
guitarist bassist drummer 

writing writers novels 
composing composers operas 

pianist violinist soloist 
pianos violins solos 

novel novels novelists 
poem poems poets 

cricket boxing cycling 
cricketer boxer cyclist 

novel poem essay 
novelist poet essayist 

music musicians composers 
art artists painters 

capitalism fascism colonialism 
capitalists fascists colonists 


composer composing compose 
conductor conducting conduct 

literature philosophy psychology 
writers philosophers psychologists 

sport cycling gymnastics 
sportsman cyclist gymnast 

fishing fishermen fished 
mining miners mined 

literature philosophy economics 
writers philosophers economists 

cultivated cultivation cultivators 
farmed farming farmers 

ideology sociology paleontology 
ideologies sociologists paleontologists 

teacher teach teachers 
educator educate educators 

teacher teach teachers 
learner learn learners 

teacher teaching teachers 
practitioner practicing practitioners 

teacher educator schoolteacher 
teaching educating schooling 


muslims christians hindus 
islam christianity hinduism 

feminism atheism anarchism 
feminists atheists anarchists 


reading watching listening 
readers viewers listeners 


modernist expressionist surrealist realist minimalist separatist zionist impressionist
modernism expressionism surrealism realism minimalism separatism zionism impressionism



linguistics paleontology palaeontology 
linguists paleontologists palaeontologists 




