
# nouns using wiki-news fastTExt vectors

tehsil tehsils
contributor contributors 
champion champions 
motorcycle motorcycles 
controller controllers 
father parents 
witch witches 
coordinator coordinators 
officer officers 
laborer laborers 
hunter hunters 
tourist tourists 
navigator navigators 
superhero superheroes 
superintendent superintendents 
patron patrons 
striker strikers 
receiver receivers 
laureate laureates 
gunner gunners 
specialist specialists 
musician musicians 
beverage beverages 
Developer Developers 
outpost outposts 
Accountant Accountants 
frigate frigates 
intermediary intermediaries 
opportunist opportunists 
warlord warlords 
minister ministers 
pedestrian pedestrians 
gnome gnomes 
loon loons 
whistleblower whistleblowers 
promoter promoters 
fighter fighters 
village villages 
chariot chariots 
wizard wizards 
diner diners 
Wife Wives 
protester protesters 
foe foes 
guest guests 
rodent rodents 
millionaire millionaires 
rancher ranchers 
entertainer entertainers 
kingdom kingdoms 
airman airmen 
neuroscientist neuroscientists 
vessel vessels 
freshman freshmen 
socialist socialists 
chief chiefs 
hospital hospitals 
keeper keepers 
panelist panelists 
twat wankers 
jew jews 
ruler rulers 
dealer dealers 
warship warships 
councilor councilors 
mate mates 
plaintiff plaintiffs 
executioner executioners 
archer archers 
fisherman fishermen 
scooter scooters 
advertiser advertisers 
shareholder shareholders 
province provinces 
scout scouts 
fella fellas 
assailant assailants 
horseman horsemen 
correspondent correspondents 
traveller travellers 
nobleman noblemen 
player players 
dolphin dolphins 
agency agencies 
subscriber subscribers 
conservationist conservationists 
belt belts 
resistor resistors 
rower rowers 
lad lads 
publisher publishers 
engineer engineers 
costume costumes 
liar liars 
storyteller storytellers 
motherboard motherboards 
policeman policemen 
insider insiders 
donkey donkeys 
celebrity celebrities 
employee employees 
ape apes 
roommate roommates 
crusader crusaders 
aide aides 
reseller resellers 
king kings 
apologist apologists 
pathogen pathogens 
caterpillar caterpillars 
contestant contestants 
coat coats 
businessman businessmen 
exporter exporters 
stakeholder stakeholders 
wholesaler wholesalers 
psychiatrist psychiatrists 
infant infants 
tutor tutors 
mammal mammals 
bloke blokes 
bidder bidders 
sailor sailors 
bigot bigots 
monkey monkeys 
despot despots 
lesbian lesbians 
trader traders 
bus buses 
apprentice apprentices 
poet poets 
mistress mistresses 
kidnapper kidnappers 
personage personages 
catcher catchers 
grandmother grandmothers 
envoy envoys 
alligator alligators 
assessor assessors 
soldier soldiers 
occupier occupiers 
robot robots 
healer healers 
sender senders 
witness witnesses 
creator creators 
Briton Britons 
investor investors 
vehicle vehicles 
coyote coyotes 
owner owners 
cadet cadets 
lender lenders 
moron morons 
creature creatures 
Nazi Nazis 
senator senators 
co-author co-authors 
weapon weapons 
illustrator illustrators 
medic medics 
packet packets 
nephew nephews 
worker workers 
diver divers 
Sister Sisters 
bike bikes 
checkuser checkusers 
paleontologist paleontologists 
bandmate bandmates 
atheist atheists 
pistol pistols 
realist realists 
sniper snipers 
crat crats 
programmer programmers 
grandson grandsons 
nationalist nationalists 
author authors 
composer composers 
Politician Politicians 
runner-up runners-up 
dog dogs 
Minister Ministers 
institution institutions 
saint saints 
badger badgers 
pharmacist pharmacists 
representative representatives 
skater skaters 
devotee devotees 
hare hares 
nymph nymphs 
backer backers 
advocate advocates 
enforcer enforcers 
girl girls 
actor actors 
dancer dancers 
hairstyle hairstyles 
shark sharks 
botanist botanists 
ambassador ambassadors 
clerk clerks 
explorer explorers 
Operator Operators 
superstar superstars 
master masters 
personality personalities 
antagonist antagonists 
sockpuppet sockpuppets 
site sites 
plane planes 
staffer staffers 
crow crows 
middleman middlemen 
creationist creationists 
car cars 
projectile projectiles 
Englishman Englishmen 
mystic mystics 
house houses 
parliamentarian parliamentarians 
boy boys 
camera cameras 
robber robbers 
student students 
division divisions 
cart carts 
neurologist neurologists 
suitcase suitcases 
beak beaks 
bookseller booksellers 
bowler bowlers 
pigeon pigeons 
aviator aviators 
director directors 
registrar registrars 
pheasant pheasants 
quarterback quarterbacks 
Judge Judges 
watcher watchers 
cartridge cartridges 
nutritionist nutritionists 
vocalist vocalists 
philanthropist philanthropists 
mother mothers 
nominee nominees 
executive executives 
preschool preschoolers 
Musician Musicians 
stripper strippers 
child children 
pony ponies 
acquaintance acquaintances 
winemaker winemakers 
predator predators 
projector projectors 
dictator dictators 
artist artists 
astronomer astronomers 
constable constables 
constructor constructors 
applicant applicants 
dean deans 
cow cows 
reptile reptiles 
denier deniers 
business businesses 
volunteer volunteers 
conductor conductors 
headliner headliners 
schoolboy schoolboys 
viewer viewers 
Muslim Muslims 
narrator narrators 
juror jurors 
paramedic paramedics 
idol idols 
distributor distributors 
Commissioner Commissioners 
right-wing right-wingers 
medalist medalists 
Democrat Democrats 
missile missiles 
bandit bandits 
commoner commoners 
enthusiast enthusiasts 
waiter waiters 
bishop bishops 
carpenter carpenters 
chicken chickens 
otter otters 
dictionary dictionaries 
turtle turtles 
hater haters 
billionaire billionaires 
MP MPs 
spammer spammers 
uncle uncles 
song songs 
carrier carriers 
walker walkers 
chaplain chaplains 
translator translators 
organiser organisers 
complainant complainants 
unit units 
person people 
pianist pianists 
competitor competitors 
chick chicks 
statistician statisticians 
trainee trainees 
entrant entrants 
captain captains 
Editor Editors 
messenger messengers 
citizen citizens 
elephant elephants 
carer carers 
non-admin non-admins 
lifeguard lifeguards 
shipper shippers 
Author Authors 
announcer announcers 
co-worker co-workers 
entrepreneur entrepreneurs 
barrister barristers 
slave slaves 
midwife midwives 
labourer labourers 
cheerleader cheerleaders 
newbie newbies 
punk punks 
hedgehog hedgehogs 
cockroach cockroaches 
goddess goddesses 
inventor inventors 
skeptic skeptics 
immigrant immigrants 
plumber plumbers 
queen queens 
devil devils 
husband husbands 
victor victors 
prisoner prisoners 
borrower borrowers 
overseer overseers 
bag bags 
servant servants 
skier skiers 
department departments 
titan titans 
historian historians 
archaeologist archaeologists 
recipient recipients 
aunt aunts 
inspector inspectors 
deacon deacons 
yacht yachts 
maintainer maintainers 
router routers 
node nodes 
spider spiders 
canoe canoes 
nominator nominators 
prelate prelates 
finisher finishers 
daughter daughters 
sinner sinners 
clergyman clergymen 
cell cells 
ghost ghosts 
manufacturer manufacturers 
dentist dentists 
thinker thinkers 
automobile automobiles 
negotiator negotiators 
doctor doctors 
bastard bastards 
mason masons 
elector electors 
biographer biographers 
statesman statesmen 
therapist therapists 
mortgage mortgages 
editor editors 
nerd nerds 
surveyor surveyors 
bystander bystanders 
proprietor proprietors 
spokesperson spokespeople 
advisor advisors 
mule mules 
troll trolls 
clinician clinicians 
astronaut astronauts 
financier financiers 
congressman congressmen 
admirer admirers 
constituency constituencies 
lesion lesions 
adviser advisers 
Catholic Catholics 
insurer insurers 
porter porters 
spectator spectators 
vegan vegans 
Member Members 
technologist technologists 
chairman chairmen 
Reviewer Reviewers 
hacker hackers 
beneficiary beneficiaries 
speaker speakers 
tenant tenants 
butcher butchers 
toddler toddlers 
psychopath psychopaths 
NGO NGOs 
intern interns 
scientist scientists 
fascist fascists 
theorist theorists 
submarine submarines 
footballer footballers 
handler handlers 
steward stewards 
survivor survivors 
ally allies 
poster posters 
mobster mobsters 
militant militants 
squirrel squirrels 
teenager teenagers 
veterinarian veterinarians 
follower followers 
gamer gamers 
observer observers 
shooter shooters 
Athlete Athletes 
henchman henchmen 
pope popes 
industrialist industrialists 
jihadist jihadists 
sceptic sceptics 
craftsman craftsmen 
motorbike motorbikes 
dude dudes 
petitioner petitioners 
neighbour neighbours 
monk monks 
heir heirs 
benefactor benefactors 
celeb celebs 
defendant defendants 
school schools 
protagonist protagonists 
processor processors 
gun guns 
wig wigs 
backpack backpacks 
shirt shirts 
branch branches 
athlete athletes 
deputy deputies 
taxpayer taxpayers 
payer payers 
claimant claimants 
airline airlines 
grandchild grandchildren 
cop cops 
snob snobs 
screenwriter screenwriters 
caregiver caregivers 
internship internships 
monarch monarchs 
migrant migrants 
youngster youngsters 
rapper rappers 
agnostic agnostics 
eagle eagles 
visitor visitors 
novelist novelists 
astrologer astrologers 
lorry lorries 
Councillor Councillors 
protector protectors 
scanner scanners 
blogger bloggers 
Lawyer Lawyers 
burglar burglars 
naturalist naturalists 
pirate pirates 
scholar scholars 
bouncer bouncers 
pilot pilots 
winger wingers 
manager managers 
stalker stalkers 
fundamentalist fundamentalists 
bartender bartenders 
synagogue synagogues 
broker brokers 
tyrant tyrants 
auditor auditors 
liberal liberals 
classmate classmates 
professor professors 
portrait portraits 
goalkeeper goalkeepers 
sister sisters 
robe robes 
restaurant restaurants 
chemist chemists 
asshole assholes 
cruiser cruisers 
counterpart counterparts 
hero heroes 
grocer grocers 
umpire umpires 
leader leaders 
adolescent adolescents 
pensioner pensioners 
bodyguard bodyguards 
comedian comedians 
connector connectors 
junkie junkies 
elf elves 
moderator moderators 
warrior warriors 
campaigner campaigners 
dad dads 
hitter hitters 
chapel chapels 
schoolgirl schoolgirls 
eyewitness eyewitnesses 
lunatic lunatics 
cat cats 
ideologue ideologues 
workstation workstations 
fanboy fanboys 
tree trees 
regulator regulators 
modem modems 
Moslem Moslems 
eatery eateries 
device devices 
hamster hamsters 
tumor tumors 
specimen specimens 
feminist feminists 
rapist rapists 
fundraiser fundraisers 
Atheist Atheists 
hipster hipsters 
head heads 
successor successors 
challenger challengers 
finalist finalists 
hairdresser hairdressers 
grenade grenades 
admin admins 
debtor debtors 
broadcaster broadcasters 
fanatic fanatics 
flower flowers 
operative operatives 
guardian guardians 
zealot zealots 
shop shops 
stranger strangers 
carton cartons 
character characters 
alumnus alumni 
customer customers 
sheriff sheriffs 
Olympian Olympians 
critic critics 
duck ducks 
analyst analysts 
mogul moguls 
wrestler wrestlers 
vampire vampires 
bird birds 
CEO CEOs 
disciple disciples 
trophy trophies 
hobbyist hobbyists 
goat goats 
jurist jurists 
gunboat gunboats 
disk disks 
stallion stallions 
human humans 
cousin cousins 
scorer scorers 
star stars 
hippie hippies 
defector defectors 
colleague colleagues 
pup pups 
biker bikers 
consumer consumers 
arbitrator arbitrators 
soloist soloists 
recruiter recruiters 
canine canines 
transaction transactions 
electrician electricians 
landlord landlords 
employer employers 
bureaucrat bureaucrats 
pilgrim pilgrims 
contender contenders 
mom moms 
handset handsets 
adventurer adventurers 
pig pigs 
Congressman Congressmen 
archbishop archbishops 
pet pets 
interpreter interpreters 
publicist publicists 
murderer murderers 
geek geeks 
monster monsters 
ward wards 
golfer golfers 
baron barons 
batsman batsmen 
browser browsers 
tortoise tortoises 
rocker rockers 
gatekeeper gatekeepers 
donor donors 
neighbor neighbors 
caller callers 
animal animals 
homeowner homeowners 
patriot patriots 
curator curators 
democrat democrats 
toy toys 
motorist motorists 
prophet prophets 
counselor counselors 
assistant assistants 
brother brothers 
passenger passengers 
anthropologist anthropologists 
wolf wolves 
Priest Priests 
builder builders 
clown clowns 
printer printers 
missionary missionaries 
dreamer dreamers 
retailer retailers 
coward cowards 
goose geese 
writer writers 
lecturer lecturers 
villain villains 
cyclist cyclists 
janitor janitors 
shepherd shepherds 
parasite parasites 
attacker attackers 
facilitator facilitators 
seller sellers 
magician magicians 
offender offenders 
runner runners 
firewall firewalls 
planner planners 
Owner Owners 
smuggler smugglers 
sensor sensors 
defender defenders 
studio studios 
biologist biologists 
melody melodies 
victim victims 
informer informers 
terrorist terrorists 
participant participants 
Secretary Secretaries 
co-star co-stars 
trainer trainers 
puppy puppies 
patient patients 
niece nieces 
vandal vandals 
appellant appellants 
mountaineer mountaineers 
instructor instructors 
Palestinian Palestinians 
gown gowns 
commuter commuters 
sparrow sparrows 
diplomat diplomats 
shaman shamans 
researcher researchers 
sociologist sociologists 
attorney attorneys 
server servers 
adversary adversaries 
agent agents 
laboratory laboratories 
councillor councillors 
tanker tankers 
spy spies 
sociopath sociopaths 
beard beards 
founder founders 
leftist leftists 
crank cranks 
admiral admirals 
issuer issuers 
ship ships 
dissident dissidents 
boat boats 
lover lovers 
gunman gunmen 
hooker hookers 
weaver weavers 
broker-dealer broker-dealers 
university universities 
communicator communicators 
believer believers 
infraction infractions 
pupil pupils 
organism organisms 
scarf scarves 
sculptor sculptors 
knight knights 
mentor mentors 
deity deities 
killer killers 
legislator legislators 
miner miners 
teammate teammates 
consultant consultants 
operator operators 
appliance appliances 
columnist columnists 
crate crates 
practitioner practitioners 
doll dolls 
trooper troopers 
painter painters 
dealership dealerships 
mathematician mathematicians 
dummy dummies 
Frenchman Frenchmen 
registrant registrants 
startup startups 
accomplice accomplices 
denomination denominations 
film-maker film-makers 
aggressor aggressors 
assassin assassins 
sysop sysops 
secretary secretaries 
reformer reformers 
friar friars 
resident residents 
caretaker caretakers 
jacket jackets 
company companies 
penguin penguins 
Employee Employees 
Engineer Engineers 
emperor emperors 
interviewee interviewees 
supporter supporters 
sock socks 
pioneer pioneers 
guy guys 
cap caps 
felon felons 
lawmaker lawmakers 
loan loans 
affiliate affiliates 
scumbag scumbags 
vet vets 
machine machines 
thief thieves 
courier couriers 
artiste artistes 
collector collectors 
governor governors 
occupant occupants 
lineman linemen 
taker takers 
cowboy cowboys 
aeroplane aeroplanes 
newspaper newspapers 
shopkeeper shopkeepers 
crook crooks 
parrot parrots 
Islamist Islamists 
photographer photographers 
helmet helmets 
cricketer cricketers 
palace palaces 
compiler compilers 
entity entities 
wasp wasps 
raccoon raccoons 
geneticist geneticists 
fan fans 
informant informants 
garment garments 
animator animators 
forecaster forecasters 
custodian custodians 
thug thugs 
reviewer reviewers 
Journalist Journalists 
Spaniard Spaniards 
ancestor ancestors 
god gods 
desktop desktops 
optimist optimists 
sportsman sportsmen 
peasant peasants 
medal medals 
meal meals 
vial vials 
cartoonist cartoonists 
brand brands 
fairy fairies 
lord lords 
perpetrator perpetrators 
vassal vassals 
seat seats 
culprit culprits 
kite kites 
pavement pavements 
educator educators 
visionary visionaries 
end-user end-users 
boss bosses 
voter voters 
intruder intruders 
newcomer newcomers 
maid maids 
baby babies 
importer importers 
outfit outfits 
skull skulls 
sibling siblings 
lobbyist lobbyists 
proponent proponents 
frog frogs 
bank banks 
son sons 
friend friends 
solicitor solicitors 
countryman countrymen 
innovator innovators 
kid kids 
tram trams 
evangelist evangelists 
meteorologist meteorologists 
firm firms 
gull gulls 
seaman seamen 
householder householders 
smartphone smartphones 
partner partners 
hawk hawks 
Athenian Athenians 
detainee detainees 
idealist idealists 
magistrate magistrates 
rabbi rabbis 
listener listeners 
supplier suppliers 
vendor vendors 
breeder breeders 
idiot idiots 
container containers 
mask masks 
pundit pundits 
theologian theologians 
airplane airplanes 
mediator mediators 
gymnast gymnasts 
telescope telescopes 
swimmer swimmers 
guitarist guitarists 
driver drivers 
physicist physicists 
refugee refugees 
native natives 
christian christians 
sufferer sufferers 
Israeli Israelis 
Arab Arabs 
imperialist imperialists 
Bolshevik Bolsheviks 
neocon neocons 
arab arabs 
communist communists 
Communist Communists 
Maoist Maoists 
capitalist capitalists 
Socialist Socialists 
reactionary reactionaries 
revolutionary revolutionaries 
apostate apostates 
infidel infidels 
pagan pagans 
rival rivals 
enemy enemies 
convict convicts 
pub pubs 
behaviour behaviours 
gunner gunners 
pouch pouches 
chance chances 
malignancy malignancies 
mark marks 
signal signals 
hoax hoaxes 
broadcaster broadcasters 
orbit orbits 
environmentalist environmentalists 
disturbance disturbances 
principle principles 
butterfly butterflies 
walk walks 
appearance appearances 
solicitation solicitations 
controversy controversies 
allegation allegations 
step steps 
goal goals 
cupcake cupcakes 
jumper jumpers 
diagram diagrams 
attempt attempts 
entity entities 
title titles 
hub hubs 
employee employees 
marketer marketers 
windmill windmills 
insect insects 
priest priests 
tour tours 
genius geniuses 
assumption assumptions 
obligation obligations 
tenet tenets 
pasture pastures 
criminal criminals 
scumbag scumbags 
DJ DJs 
sub-page sub-pages 
liar liars 
exception exceptions 
personage personages 
paragraph paragraphs 
ornament ornaments 
excavation excavations 
invention inventions 
shell shells 
courthouse courthouses 
stooge stooges 
snob snobs 
anarchist anarchists 
coating coatings 
hospital hospitals 
appliance appliances 
size sizes 
Album Albums 
fraudster fraudsters 
flavor flavors 
defender defenders 
tutor tutors 
pup pups 
view views 
worm worms 
conclusion conclusions 
aide aides 
teammate teammates 
design designs 
jet jets 
virus viruses 
payoff payoffs 
expression expressions 
island islands 
weapon weapons 
psychopath psychopaths 
handheld handhelds 
candidate candidates 
institute institutes 
cliche cliches 
infection infections 
wallet wallets 
innovator innovators 
celebration celebrations 
river rivers 
ribbon ribbons 
banker bankers 
buyer buyers 
psalm psalms 
suit suits 
shack shacks 
licensee licensees 
dosage dosages 
youngster youngsters 
passion passions 
inspection inspections 
caregiver caregivers 
consumer consumers 
cluster clusters 
user users 
edition editions 
textbook textbooks 
hull hulls 
tragedy tragedies 
pseudonym pseudonyms 
history histories 
memo memos 
polity polities 
scanner scanners 
evaluation evaluations 
servant servants 
constitution constitutions 
deal deals 
pundit pundits 
firm firms 
mode modes 
transcript transcripts 
argument arguments 
degree degrees 
belief beliefs 
bacterium bacteria 
transaction transactions 
application applications 
courtroom courtrooms 
physicist physicists 
corridor corridors 
handler handlers 
girlfriend girlfriends 
B-side B-sides 
curriculum curricula 
inconvenience inconveniences 
ban bans 
coach coaches 
riff riffs 
surname surnames 
vignette vignettes 
cylinder cylinders 
saddle saddles 
explanation explanations 
witness witnesses 
healer healers 
enhancement enhancements 
cuisine cuisines 
sailor sailors 
document documents 
filmmaker filmmakers 
Olympian Olympians 
waitress waitresses 
mattress mattresses 
church churches 
fridge fridges 
museum museums 
defendant defendants 
massacre massacres 
observation observations 
tradition traditions 
watercolor watercolors 
remedy remedies 
retailer retailers 
grant grants 
CD-ROM CD-ROMs 
applicant applicants 
classification classifications 
worldview worldviews 
reversal reversals 
iPhone iPhones 
subset subsets 
manager managers 
relationship relationships 
ocean oceans 
researcher researchers 
declaration declarations 
chipset chipsets 
RPG RPGs 
sprinter sprinters 
park parks 
imprint imprints 
misrepresentation misrepresentations 
predicate predicates 
housewife housewives 
tyrant tyrants 
interruption interruptions 
escalator escalators 
comedy comedies 
fundraiser fundraisers 
iPod iPods 
photo photos 
shooter shooters 
registry registries 
chorus choruses 
story stories 
sheriff sheriffs 
chandelier chandeliers 
variable variables 
sociologist sociologists 
venue venues 
leopard leopards 
engraving engravings 
shopkeeper shopkeepers 
handout handouts 
calf calves 
inlet inlets 
partner partners 
searcher searchers 
widget widgets 
crest crests 
novel novels 
bachelor bachelors 
clown clowns 
stance stances 
system systems 
brewery breweries 
questionnaire questionnaires 
frog frogs 
junkie junkies 
contraceptive contraceptives 
guitarist guitarists 
subsidy subsidies 
paradigm paradigms 
aperture apertures 
rant rants 
conservationist conservationists 
championship championships 
smuggler smugglers 
skull skulls 
henchman henchmen 
publicist publicists 
dinosaur dinosaurs 
actuator actuators 
schema schemas 
witch witches 
EP EPs 
bullet bullets 
compilation compilations 
designation designations 
locality localities 
feminist feminists 
parish parishes 
teacher teachers 
download downloads 
primate primates 
webpage webpages 
belt belts 
ballet ballets 
definition definitions 
cavity cavities 
converter converters 
guarantee guarantees 
proprietor proprietors 
bigot bigots 
discourse discourses 
publisher publishers 
puzzle puzzles 
identity identities 
tree trees 
doc docs 
dance dances 
chemist chemists 
program programs 
manuscript manuscripts 
heresy heresies 
producer producers 
collaborator collaborators 
scapegoat scapegoats 
restriction restrictions 
shaft shafts 
tissue tissues 
civilization civilizations 
ordinance ordinances 
nucleotide nucleotides 
medal medals 
zealot zealots 
footnote footnotes 
addict addicts 
method methods 
factory factories 
allele alleles 
abstraction abstractions 
tire tires 
prize prizes 
cellar cellars 
portrait portraits 
dealership dealerships 
checklist checklists 
tactic tactics 
duct ducts 
bribe bribes 
API APIs 
decree decrees 
planner planners 
ebook ebooks 
amendment amendments 
mosquito mosquitoes 
facilitator facilitators 
discovery discoveries 
sonnet sonnets 
period periods 
clinic clinics 
county counties 
header headers 
injection injections 
ideology ideologies 
subtype subtypes 
link links 
parliamentarian parliamentarians 
attack attacks 
tram trams 
lesion lesions 
cartoon cartoons 
commando commandos 
proxy proxies 
denial denials 
suburb suburbs 
diameter diameters 
councillor councillors 
waterway waterways 
pacifist pacifists 
nerd nerds 
unit units 
jockey jockeys 
listener listeners 
icon icons 
rodent rodents 
carrier carriers 
phenotype phenotypes 
fox foxes 
userbox userboxes 
pole poles 
facet facets 
proposition propositions 
obituary obituaries 
sergeant sergeants 
restroom restrooms 
map maps 
pane panes 
compound compounds 
gimmick gimmicks 
presumption presumptions 
passenger passengers 
congressman congressmen 
trader traders 
configuration configurations 
wrapper wrappers 
gamer gamers 
qualifier qualifiers 
roommate roommates 
Swede Swedes 
celebrity celebrities 
cowboy cowboys 
command commands 
keyword keywords 
hike hikes 
option options 
deity deities 
celeb celebs 
verb verbs 
carriage carriages 
tenant tenants 
bowl bowls 
marvel marvels 
diary diaries 
solicitor solicitors 
parliament parliaments 
cake cakes 
organization organizations 
businessman businessmen 
capacity capacities 
approval approvals 
hater haters 
donation donations 
personality personalities 
server servers 
chip chips 
prince princes 
dog dogs 
ship ships 
supplier suppliers 
millionaire millionaires 
videotape videotapes 
policeman policemen 
skirt skirts 
essay essays 
platoon platoons 
adviser advisers 
soundbite soundbites 
diner diners 
avatar avatars 
subscriber subscribers 
misconception misconceptions 
update updates 
convention conventions 
customer customers 
path paths 
medallion medallions 
interpretation interpretations 
chef chefs 
cone cones 
texture textures 
whale whales 
malfunction malfunctions 
tug tugs 
foray forays 
supply supplies 
platform platforms 
roof roofs 
group groups 
computer computers 
location locations 
relay relays 
recruiter recruiters 
dinner dinners 
conductor conductors 
lever levers 
ligand ligands 
recommendation recommendations 
question questions 
selection selections 
bias biases 
bidder bidders 
lifestyle lifestyles 
memorial memorials 
driveway driveways 
outage outages 
birdie birdies 
beggar beggars 
immigrant immigrants 
neutron neutrons 
audit audits 
convent convents 
cloth cloths 
sub-article sub-articles 
etymology etymologies 
lady ladies 
consultation consultations 
investor investors 
beetle beetles 
bureau bureaus 
analysis analyses 
modality modalities 
apostrophe apostrophes 
rebuttal rebuttals 
possibility possibilities 
copy copies 
lake lakes 
portrayal portrayals 
backpack backpacks 
triumph triumphs 
automaker automakers 
setback setbacks 
timeline timelines 
steward stewards 
tractor tractors 
printer printers 
station stations 
flashlight flashlights 
fossil fossils 
reservoir reservoirs 
riddle riddles 
battleship battleships 
distortion distortions 
rebate rebates 
outlook outlooks 
breakthrough breakthroughs 
film films 
tube tubes 
parcel parcels 
outpost outposts 
transistor transistors 
survey surveys 
friend friends 
spouse spouses 
rejection rejections 
cube cubes 
template templates 
payload payloads 
additive additives 
change changes 
typo typos 
goddess goddesses 
lodge lodges 
calculator calculators 
archbishop archbishops 
street streets 
soul souls 
event events 
syndicate syndicates 
module modules 
ruler rulers 
co-star co-stars 
shipper shippers 
competition competitions 
plaintiff plaintiffs 
neighbourhood neighbourhoods 
organism organisms 
painter painters 
inference inferences 
snapshot snapshots 
idol idols 
motif motifs 
candle candles 
theory theories 
knife knives 
deck decks 
falsehood falsehoods 
concerto concertos 
challenge challenges 
rancher ranchers 
dogma dogmas 
transgression transgressions 
synopsis synopses 
lab labs 
regime regimes 
guitar guitars 
seller sellers 
clone clones 
claim claims 
caption captions 
race races 
protein proteins 
atrocity atrocities 
aria arias 
noodle noodles 
mole moles 
army armies 
ward wards 
protocol protocols 
phoneme phonemes 
continent continents 
perspective perspectives 
angel angels 
counter-argument counter-arguments 
room rooms 
stadium stadiums 
newsletter newsletters 
allotment allotments 
pearl pearls 
booklet booklets 
mug mugs 
occasion occasions 
surgeon surgeons 
pillar pillars 
novella novellas 
railroad railroads 
summit summits 
sensor sensors 
writer writers 
correction corrections 
stomach stomachs 
