


certain certainly
realistic realistically 
sporadic sporadically 
prominent prominently 
purposeful purposefully 
conspicuous conspicuously 
brief briefly 
profound profoundly 
brave bravely 
superficial superficially 
environmental environmentally 
hasty hastily 
active actively 
clinical clinically 
obsessive obsessively 
pointless pointlessly 
relentless relentlessly 
democratic democratically 
rapid rapidly 
thematic thematically 
periodic periodically 
safe safely 
exhaustive exhaustively 
unnecessary unnecessarily 
vivid vividly 
alphabetical alphabetically 
occasional occasionally 
creative creatively 
uncritical uncritically 
spontaneous spontaneously 
serious seriously 
preferential preferentially 
empirical empirically 
tragic tragically 
structural structurally 
unjust unjustly 
annual annually 
public publicly 
erratic erratically 
identical identically 
disproportionate disproportionately 
formal formally 
sarcastic sarcastically 
proportional proportionally 
artful artfully 
conscientious conscientiously 
lateral laterally 
supposed supposedly 
cheap cheaply 
selective selectively 
quiet quietly 
nervous nervously 
delightful delightfully 
coincidental coincidentally 
overt overtly 
savage savagely 
emotional emotionally 
malicious maliciously 
intellectual intellectually 
favourable favourably 
ominous ominously 
factual factually 
conditional conditionally 
busy busily 
peculiar peculiarly 
reliable reliably 
triumphant triumphantly 
aggressive aggressively 
oral orally 
equitable equitably 
delicate delicately 
secret secretly 
brisk briskly 
ferocious ferociously 
neat neatly 
frantic frantically 
oblique obliquely 
rhetorical rhetorically 
odd oddly 
lyrical lyrically 
accurate accurately 
paradoxical paradoxically 
disastrous disastrously 
willful willfully 
succinct succinctly 
fundamental fundamentally 
vehement vehemently 
involuntary involuntarily 
voluntary voluntarily 
unintentional unintentionally 
concurrent concurrently 
false falsely 
transparent transparently 
intense intensely 
accidental accidentally 
eloquent eloquently 
geometric geometrically 
skillful skillfully 
cautious cautiously 
prohibited expressly 
rational rationally 
geographical geographically 
fierce fiercely 
silent silently 
professional professionally 
infrequent infrequently 
verifiable verifiably 
natural naturally 
homogeneous uniformly 
ethical ethically 
proud proudly 
proportionate proportionately 
unexpected unexpectedly 
gradual gradually 
generic generically 
flexible flexibly 
fervent fervently 
reluctant reluctantly 
ruthless ruthlessly 
automatic automatically 
skilful skilfully 
sexual sexually 
unlawful unlawfully 
steadfast steadfastly 
deep deeply 
inevitable inevitably 
adamant adamantly 
implicit implicitly 
alternating alternately 
different differently 
dangerous dangerously 
unconditional unconditionally 
illegal illegally 
harsh harshly 
flawless flawlessly 
unmistakable unmistakably 
functional functionally 
hurried hurriedly 
premature prematurely 
satisfactory satisfactorily 
categorical categorically 
broad broadly 
full fully 
brilliant brilliantly 
conventional conventionally 
temporary temporarily 
honest honestly 
careless carelessly 
eager eagerly 
permanent permanently 
independent independently 
candid candidly 
temporal temporally 
critical critically 
sympathetic sympathetically 
autonomous autonomously 
persuasive persuasively 
loud loudly 
steady steadily 
adequate adequately 
intuitive intuitively 
vocal vocally 
resolute resolutely 
meaningful meaningfully 
qualitative quantitatively 
mental mentally 
immediate immediately 
tangential tangentially 
superb superbly 
distinctive distinctively 
electrical electrically 
unequivocal unequivocally 
unique uniquely 
potential potentially 
local locally 
comfortable comfortably 
brutal brutally 
uncontrollable uncontrollably 
painful painfully 
humorous humorously 
strange strangely 
metaphorical metaphorically 
intricate elaborately 
informal informally 
coherent coherently 
covert covertly 
unabashed unabashedly 
generous generously 
national nationally 
alarming alarmingly 
spatial spatially 
negative negatively 
pleasant pleasantly 
genetic genetically 
indisputable indisputably 
purported purportedly 
gleeful gleefully 
mutual mutually 
continual continually 
manual manually 
gradual gradually 
individual individually 
eventual eventually
asexual asexually 
dutiful dutifully 
selfless selflessly 
intricate intricately 
obvious obviously 
haphazard haphazardly 
charming charmingly 
tireless tirelessly 
meticulous meticulously 
noticeable noticeably 
optimistic optimistically 
wrongful wrongfully 
efficient efficiently 
staunch staunchly 
mutual mutually 
frantic frantically 
predictable predictably 
unilateral unilaterally 
factual factually 
inadvertent inadvertently 
predominant predominantly 
provisional provisionally 
unlawful unlawfully 
generous generously 
imperfect imperfectly 
correct correctly 
tentative tentatively 
humorous humorously 
conceivable conceivably 
holistic holistically 
resolute resolutely 
magnetic magnetically 
logical logically 
impulsive impulsively 
appreciable appreciably 
polite politely 
intrinsic intrinsically 
indiscriminate indiscriminately 
Consistent Consistently 
inaccurate inaccurately 
adverse adversely 
verbal verbally 
eager eagerly 
ominous ominously 
unapologetic unapologetically 
valiant valiantly 
prudent prudently 
explicit explicitly 
gradual gradually 
adequate adequately 
quick quickly 
Direct Directly 
instinctive instinctively 
rude rudely 
fabulous fabulously 
metaphorical metaphorically 
universal universally 
bold boldly 
private privately 
incessant incessantly 
official officially 
false falsely 
conditional conditionally 
permanent permanently 
secure securely 
rational rationally 
incremental incrementally 
affirmative affirmatively 
common commonly 
hasty hastily 
indefinite indefinitely 
arrogant arrogantly 
optimal optimally 
obsessive obsessively 
tacit tacitly 
uncomfortable uncomfortably 
numerical numerically 
sustainable sustainably 
reasonable reasonably 
endless endlessly 
ethical ethically 
identical identically 
instantaneous instantaneously 
Permanent Permanently 
unknowing unknowingly 
preferential preferentially 
mindless mindlessly 
succinct succinctly 
acute acutely 
organic organically 
diplomatic diplomatically 
favourable favourably 
imaginative imaginatively 
irrevocable irrevocably 
regrettable regrettably 
Careful Carefully 
favorable favorably 
tactical tactically 
Random Randomly 
savage savagely 
acoustic acoustically 
informal informally 
New Newly 
attractive attractively 
skillful skillfully 
conscious consciously 
Correct Correctly 
laughable laughably 
humble humbly 
sly slyly 
diagonal diagonally 
homogeneous uniformly 
respectful respectfully 
legal legally 
uneven unevenly 
implicit implicitly 
elegant elegantly 
habitual habitually 
dangerous dangerously 
productive productively 
reluctant reluctantly 
appreciative gratefully 
chronological chronologically 
unconditional unconditionally 
sweet sweetly 
mere merely 
reckless recklessly 
peculiar peculiarly 
stable stably 
perennial perennially 
stubborn stubbornly 
profitable profitably 
intensive intensively 
Quick Quickly 
fresh freshly 
separation separated 
happy happily 
malicious maliciously 
concurrent concurrently 
rhetorical rhetorically 
widespread widely 
modest modestly 
brief briefly 
justifiable justifiably 
romantic romantically 
disgusting disgustingly 
painstaking painstakingly 
constructive constructively 
merciless mercilessly 
outrageous outrageously 
forcible forcibly 
immaculate immaculately 
plausible plausibly 
eternal eternally 
irrational irrationally 
pitiful pathetically 
proper properly 
arbitrary arbitrarily 
constant constantly 
robust robustly 
impeccable impeccably 
sudden suddenly 
eloquent eloquently 
collective collectively 
glorious gloriously 
serial serially 
undeniable undeniably 
curious curiously 
retrospective retrospectively 
unanimous unanimously 
defiant defiantly 
visual visually 
competitive competitively 
continual continually 
naive naively 
systemic systemically 
careless carelessly 
unreasonable unreasonably 
steadfast steadfastly 
radical radically 
harsh harshly 
unavoidable unavoidably 
bizarre bizarrely 
frustrating frustratingly 
solemn solemnly 
Effective Effectively 
sequential sequentially 
hopeless hopelessly 
transparent transparently 
lawful lawfully 
computational computationally 
indisputable indisputably 
public publically 
genuine genuinely 
repetitive repetitively 
breathless breathlessly 
delightful delightfully 
graphical graphically 
drastic drastically 
unquestionable unquestionably 
brazen brazenly 
excessive excessively 
Proper Properly 
cooperative cooperatively 
perpetual perpetually 
masterful masterfully 
wise wisely 
mathematical mathematically 
foolish foolishly 
spontaneous spontaneously 
incorrect incorrectly 
meaningful meaningfully 
unabashed unabashedly 
earnest earnestly 
visible visibly 
avid avidly 
unambiguous unambiguously 
sarcastic sarcastically 
interactive interactively 
legitimate legitimately 
rightful rightfully 
lateral laterally 
stupid stupidly 
superb superbly 
intermittent intermittently 
fierce fiercely 
successive successively 
competent competently 
tight tightly 
dense densely 
coherent coherently 
discrete discretely 
erroneous erroneously 
aggressive aggressively 
selective selectively 
automatic automatically 
violent violently 
definitive definitively 
confident confidently 
heroic heroically 
innate innately 
momentary momentarily 
stylish stylishly 
intentional intentionally 
digital digitally 
satisfactory satisfactorily 
persistent persistently 
affordable affordably 
oblique obliquely 
vertical vertically 
ceaseless ceaselessly 
fearless fearlessly 
partial partially 
easy easily 
exhaustive exhaustively 
thick thickly 
smooth smoothly 
improper improperly 
ostensible ostensibly 
delicate delicately 
harmonious harmoniously 
hysterical hysterically 
desperate desperately 
cumulative cumulatively 
erratic erratically 
clumsy clumsily 
compulsive compulsively 
unequivocal unequivocally 
illegal illegally 
lavish lavishly 
humane humanely 
intense intensely 
reverent reverently 
Challenging Challenged 
fatal fatally 
emotional emotionally 
exclusive exclusively 
splendid splendidly 
vehement vehemently 
reflexive reflexively 
playful playfully 
cordial cordially 
valid validly 
periodic periodically 
vicious viciously 
gorgeous gorgeously 
smug smugly 
deft deftly 
Constant Constantly 
exquisite exquisitely 
intimate intimately 
juxtaposition juxtaposed 
unwitting unwittingly 
unfair unfairly 
inadequate inadequately 
stealthy stealthily 
active actively 
negative negatively 
overwhelming overwhelmingly 
Successful Successfully 
clever cleverly 
blatant blatantly 
blissful blissfully 
asynchronous asynchronously 
welcoming warmly 
relentless relentlessly 
temporary temporarily 
collaborative collaboratively 
fervent fervently 
linear linearly 
indirect indirectly 
frequent frequently 
aesthetic aesthetically 
candid candidly 
rich richly 
electronic electronically 
topical topically 
inexpensive inexpensively 
simultaneous simultaneously 
individual individually 
objective objectively 
poetic poetically 
abrupt abruptly 
spatial spatially 
sporadic sporadically 
enthusiastic enthusiastically 
hilarious hilariously 
geographical geographically 
credible credibly 
abnormal abnormally 
notable notably 
seductive seductively 
succesful succesfully 
effortless effortlessly 
innocent innocently 
anxious anxiously 
cynical cynically 
fundamental fundamentally 
unique uniquely 
attentive attentively 
seamless seamlessly 
useful usefully 
Regular Regularly 
cautious cautiously 
safe safely 
annoying annoyingly 
direct directly 
synchronous synchronously 
unexpected unexpectedly 
willful willfully 
temporal temporally 
irresistible irresistibly 
symbolic symbolically 
distinct distinctly 
discreet discreetly 
strategic strategically 
conspicuous conspicuously 
awkward awkwardly 
impressive impressively 
consequent consequently 
delectable deliciously 
understandable understandably 
honorable honorably 
adorable adorably 
powerful powerfully 
voluntary voluntarily 
decisive decisively 
shameless shamelessly 
flawless flawlessly 
ample amply 
rhythmic rhythmically 
strange strangely 
confidential confidentially 
tragic tragically 
Partial Partially 
flexible flexibly 
inevitable inevitably 
irregular irregularly 
ferocious ferociously 
recent recently 
painful painfully 
aimless aimlessly 
cost-effective cost-effectively 
comfortable comfortably 
unnecessary needlessly 
fatigue fatigued 
artful artfully 
decent decently 
mistake mistakenly 
gracious graciously 
gentle gently 
arguable arguably 
convincing convincingly 
instant instantly 
joyful joyfully 
healthy healthily 
cruel cruelly 
faithful faithfully 
ethnic ethnically 
unsuccessful unsuccessfully 
fraudulent fraudulently 
abundant abundantly 
Emotional Emotionally 
consecutive consecutively 
mindful mindfully 
random randomly 
subtle subtly 
nonchalant nonchalantly 
chronic chronically 
different differently 
lazy lazily 
creative creatively 
constitutional constitutionally 
covert covertly 
furious furiously 
unintentional unintentionally 
thematic thematically 
convenient conveniently 
empirical empirically 
independent independently 
prominent prominently 
appropriate appropriately 
separate separately 
alphabetical alphabetically 
adamant adamantly 
lyrical lyrically 
overt overtly 
mental mentally 
passionate passionately 
distinctive distinctively 
demonstrable demonstrably 
Simple Simply 
selfish selfishly 
potential potentially 
graceful gracefully 
brilliant brilliantly 
consistant consistantly 
vocal vocally 
unmistakable unmistakably 
seeming seemingly 
ruthless ruthlessly 
grim grimly 
crazy crazily 
special specially 
quantitative quantitatively 
skilful skilfully 
regretful regretfully 
involuntary involuntarily 
natural naturally 
consistent consistently 
inexorable inexorably 
specific specifically 
unofficial unofficially 
accurate accurately 
triumphant triumphantly 
Repeated Repeatedly 
subjective subjectively 
deceptive deceptively 
subconscious subconsciously 
sympathetic sympathetically 
truthful truthfully 
emphatic emphatically 
helpful helpfully 
wilful wilfully 
undue unduly 
critical critically 
tasteful tastefully 
occasional occasionally 
accidental accidentally 
proactive proactively 
realistic realistically 
horrific horrifically 
prior before 
manual manually 
deliberate deliberately 
recursive recursively 
rigorous rigorously 
silent silently 
courageous courageously 
judicious judiciously 
ironic ironically 
conclusive conclusively 
joyous joyously 
careful carefully 
sparse sparsely 
inappropriate inappropriately 
functional functionally 
Potential Potentially 
solid solidly 
luxurious luxuriously 
Exclusive Exclusively 
previous previously 
alternating alternately 
Thorough Thoroughly 
hypothetical hypothetically 
preemptive preemptively 
successful successfully 
new newly 
gleeful gleefully 
sincere sincerely 
infrequent infrequently 
wireless wirelessly 
brutal brutally 
steady steadily 
sexual sexually 
diligent diligently 
horrible horribly 
painless painlessly 
intuitive intuitively 
obedient obediently 
serious seriously 
mental mentally 
democratic democratically 
economical economically 
biological biologically 
moral morally 
electrical electrically 
social socially 
physical physically 
cultural culturally 
ethnic ethnically 
political politically 
administrative administratively 
historical historically 
racial racially 
mechanical mechanically 
geological geologically 
electronic electronically 
scientific scientifically 
mathematical mathematically 
chemical chemically 
geographical geographically 
practical practically 
genetic genetically 
theoretical theoretically 
environmental environmentally 
logical logically 
emotional emotionally 
important importantly 
substantial substantially 
consistent consistently 
essential essentially 
significant significantly 
considerable considerably 
usual usually
normal normally
formal formally
typical typically
unusual unusually
actual actually
real really


# other frames

usually occasionally additionally traditionally quickly slowly steadily dangerous serious severe 
usual occasional additional traditional quick slow steady dangerously seriously severely 


main important 
mainly importantly 

famous notable 
famously notably 

famous popular 
famously popularly 

famous prominent 
famously prominently 

