

#----------
# sport
#----------

football hockey basketball 
bushrangers robbers gangsters brackets packets sockets fortifications specifications indications modifications certifications
bushranger robber gangster bracket packet socket fortification specification indication modification certification 

transistors loudspeakers breakers 
transistor loudspeaker breaker 

wildcats badgers wolverines 
wildcat badger wolverine 

simulation simulate simulated 
manipulation manipulate manipulated 

urged discouraged outraged 
urge discourage outrage 

pressures presses progresses 
pressured pressed progressed 

uzbekistan turkmenistan baltistan 
uzbek turkmen balti 

economically chemically biologically 
economists chemists biologists 

detected corrected dissected 
detection correction dissection 

martinez martinique martini 
dominguez dominique domini 

pushing rushing wishing 
pushes rushes wishes 

conclusion concludes concluding 
exclusion excludes excluding 

tracking cracking locking 
tracker cracker locker 

tends tender tended 
blends blender blended 

flavor flavors savory 
flavour flavours savoury 

carnivorous carnivores carnivore 
herbivorous herbivores herbivore 

clarinet clarinets clarinetist 
trumpet trumpets trumpeter 
violin violins violinist
cello cellos cellist


examination qualification certification 
examinations qualifications certifications 

bedford gloucester berwick 
bedfordshire gloucestershire berwickshire 

grams kilograms centimetres 
gram kilogram centimetre 

detected detector detectors 
projected projector projectors 

achieved obtained retained 
achieving obtaining retaining 

detective detection detecting 
investigative investigation investigating 

quantity commodity transaction 
quantities commodities transactions 

christina cristina martina 
christi cristi marti 

explore explored exploration 
colonize colonized colonization 

sells seller sellers 
buys buyer buyers 

controller peripheral router 
controllers peripherals routers 

migration colonization emigration 
migrate colonize emigrate 

communism fascism nazism 
communists fascists nazis 

mw.ustring.gsub mw.ustring.match mw.ustring.find 
string.gsub string.match string.find 

formal informal colloquial 
formally informally colloquially 

representing presenting implementing 
representation presentation implementation 

presidency presided presiding 
residency resided residing 

graduate undergraduate doctorate 
graduates undergraduates doctorates 

emergency disaster explosion earthquake evacuation
emergencies disasters explosions earthquakes evacuations

sure safe suitable 
unsure unsafe unsuitable 

increased improved improvised 
increase improve improvise 

murder murdered murderers 
kidnapping kidnapped kidnappers 

murder rape robbery 
murdered raped robbed 

brazil brazilian brazil's 
argentina argentine argentina's 

instruments flutes clarinets trombones oboes constructions renovations developments mornings fridays thursdays
instrument flute clarinet trombone oboe construction renovation redevelopment morning friday thursday

singing sing singers 
performing perform performers 

learned trained recruited 
learning training recruitment 

engineering engineer engineers 
astronautical astronaut astronauts 

destroyed captured retreated 
destroying capturing retreating 

southeast southwest northeast 
south-southeast south-southwest north-northeast 

southeast southwest south-west 
northeast northwest north-west 

southeast south-east south-western 
northeast north-east north-western 

brothers sisters daughters 
brother's sister's daughter's 

cultural cultures culturally 
economical economies economically 

attacked attacker attackers 
hacked hacker hackers 

attacked defended offended 
attackers defenders offenders 

learn teach educate 
learning teaching educating 

historical archaeological geological 
historian archaeologist geologist 

historical historian histories 
biographical biographer biographies 

historical historian historians 
economical economist economists 

workers worker workmen 
firefighters firefighter firemen 

nhl nba nfl 
nhl's nba's nfl's 

dutch frisian tunisian 
netherlands frisia tunisia 

committee commission recommendation 
committees commissions recommendations 

jewish israeli palestinian 
jews israelis palestinians 

turned turns turning 
burned burns burning 

addition additional additions 
exception exceptional exceptions 

present presented presentation 
represent represented representation 

festival parade carnival bird hummingbird heron 
festivals parades carnivals birds hummingbirds herons

prince princes prince's 
duke dukes duke's 

brown gray grey 
brown's gray's grey's 

production introduction adoption 
producing introducing adopting 

production produces producing 
reduction reduces reducing 

biggest closest farthest 
bigger closer farther 

reached reach reaching 
achieved achieve achieving 

believed believe beliefs 
relieved relieve reliefs 

believed explained complained 
believing explaining complaining 

catholic protestant calvinist 
catholicism protestantism calvinism 

described inscribed transcribed 
descriptions inscriptions transcriptions 

discovered explored exploited 
discovers explores exploits 

artist artists artist's 
painter painters painting 

independent independence independently 
separate separatism separately 

spanish mexican mexico's 
portuguese brazilian brazil's 

spanish mexican chilean 
spain's mexico's chile's 

writing reading heading 
writings readings headings 

highest highest-ranking highest-rated 
longest longest-serving longest-running 

moved moving moves 
travelled travelling travels 

charles henry jane 
charles's henry's jane's 

think know learn 
thinking knowing learning 

think realize realise 
thinks realizes realises 

father mother daughter 
father-in-law mother-in-law daughter-in-law 

father mother daughter 
fathers mothers daughters 

singer singers singer's 
artist artists artist's 

greek macedonian athenian 
greece macedonia athens 

green brown yellow 
greenish brownish yellowish 

daughter granddaughter heiress 
sons grandsons heirs 

west northwest northeast 
westwards northwestward northeastward 

sold purchased rented 
selling purchasing renting 

sold exported smuggled 
selling exporting smuggling 

joined merged emerged 
joining merging emerging 

election re-election reelection 
elected re-elected reelected 

africa african africans 
asia asian asians 

color coloring coloration 
colour colouring colouration 

east north-east south-west 
eastern north-eastern south-western 

king kings king's 
queen queens queen's 

original previous initial 
originally previously initially 

started ended finished 
starts ends finishes 

river basin tributary 
rivers basins tributaries 

produced producing producers 
directed directing directors 

played coached poached 
playing coaching poaching 

james peter andrew 
james's peter's andrew's 

published publishing publisher 
illustrated illustrating illustrator 

french german polish 
french-born german-born polish-born 

french german austrian 
france's germany's austria's 

french france france's 
spanish spain spain's 

million billion thousand 
millions billions thousands 

region regions region's 
province provinces province's 

built constructed rebuilt 
building constructing rebuilding 

created produced distributed 
creators producers distributors 

story stories story's 
poem poems poet's 

human humans human's 
animal animals animal's 

changed changes changing 
exchanged exchanges exchanging 

changed changes changing 
ranged ranges ranging 

changed shifted drifted 
changing shifting drifting 

changed converted reverted 
changing converting reverting 

formed forming formations 
transformed transforming transformations 

formed reformed deformed 
formation reformation deformation 

received gained obtained 
receiving gaining obtaining 

northern northeast northeastern 
southern southeast southeastern 

killed raped abused 
killing raping abusing 


# -----------------------

food eaten ate 
clothing worn wore 

military political religious 
officers leaders priests 

often usually sometimes 
frequently typically occasionally 

cambridge oxford leicester pembroke hertford worcester gloucester lancashire cheshire
cambridgeshire oxfordshire leicestershire pembrokeshire hertfordshire worcestershire gloucestershire lancaster chester

bach beethoven liszt 
johann ludwig franz 

some often difficult 
all always impossible 

idea ideas thinking 
method methods problem-solving 

speed speeds high-speed 
distance distances long-distance 



golf golfer pga 
cycling cyclist uci 

china beijing mao 
russia moscow lenin 

composer composers debussy 
painter painters renoir 

composer composers debussy 
painter painters monet 




killed injured drowned 
destroyed damaged flooded 

british-american german-american anglo-american 
british-born german-born english-born 

robert roberto roberta 
albert alberto alberta 

diana mariana juliana 
diane marianne julianne 




put putting puts 
let letting lets 


higher heavier taller 
maximum weight height 



resigned resignation resign 
retiring retirement retire 



went go gone 
fell fall fallen 



sell sells merchandise 
publish publishes paperback 




think tell decide 
thinks tells decides 

played play players 
competed compete athletes 




people person person's 
men man man's 





pakistan afghanistan ethiopia 
islamabad kabul addis 

iran lebanon ethiopia 
tehran beirut addis 

east southwest north-east 
eastern southwestern south-eastern 

culture cultural cultures 
religion religious religions 

uk ireland britain 
uk's ireland's britain's 

sent thrown knocked 
send throw knock 

developed develop develops 
grown grow grows 

austria poland austria-hungary 
austrian polish austro-hungarian 

shows describes defines 
shown described defined 

political leaders meetings 
religious priests prayers 

brought spread affected 
brings spreads affects 

art literature philosophy 
artists writers philosophers 

christian christianity christians 
catholic catholicism catholics 



board committee commission 
boards committees commissions 

turned dropped thrown 
turn drop throw 



take taken takes 
save saved saves 

take send deliver 
taken sent delivered 

take hold occupy 
taken held occupied 

killed caught thrown 
kills catches throws 

killed destroyed removed 
killing destroying removing 

formed discovered explored 
formation discovery exploration 

south north southeast
africa america asia

see tell remember 
sees tells remembers 

see know agree 
sees knows agrees 

see explain interpret 
seen explained interpreted 

see keep remove 
seen kept removed 

attack invasion annexation 
attacked invaded annexed 

attack fight conquer 
attacked fought conquered 

see explain interpret 
seen explained interpreted 

see keep remove 
seen kept removed 

singer singing sang 
rapper rapping rapped 

studied taught learned 
study teach learn 

km distance farther 
kmh speed faster 

going moving pushed 
goes moves pushes 

replaced succeeded abdicated 
replace succeed abdicate 

mexico cuba rico 
mexican cuban rican 

italian portuguese maltese 
italy portugal malta 

give receive gain 
gives receives gains 

development expansion strengthening 
develop expand strengthen 



creating providing promoting 
creates provides promotes 



acting singing dancing 
actors singers dancers 

acting performing dancing 
acted performed danced 

hold holds holding 
hang hangs hanging 

sport skiing gymnastics 
sportsman skier gymnast 





understand develop survive 
understanding development survival 



use do want 
uses does wants 

use produce develop 
uses produces develops 

use change move 
using changing moving 

british irish norwegian 
britain ireland norway 

british japanese russian 
britain japan russia 




state country germany 
state's country's germany's 



american australian scottish 
america australia scotland 

american african korean 
america africa korea 

world country france 
world's country's france's 

people person person's 
children child child's 



bombing destroying capturing 
bombed destroyed captured 

attractions attract attractive 
interactions interact interactive 

rape torture suspect 
raped tortured suspected 


german spanish turkish 
germans spaniards turks 


trapped crushed rushed 
trap crush rush 

predicted predict prediction 
calculated calculate calculation 

predicted approached slowed 
predict approach slow 

surprise realize convince 
surprised realized convinced 

lithuania estonia catalonia 
lithuanian estonian catalan 



shipping sailing arriving 
shipped sailed arrived 

updated documented commented 
update document comment 

collecting collector collective 
protecting protector protective 

kick jumps throws 
kicked jumped threw 



wishes refuses promises 
wished refused promised 

wishes chooses refuses 
wished chose refused 

wishes hopes promises 
wished hoped promised 

touches throws blows 
touched thrown blown 

jumps pulls blows touches wishes
jumped pulled blown touched wished 

examination demonstration integration 
examined demonstrated integrated 

deletion documentation quotation 
deleted documented quoted 



quoted commented interviewed documented
quote comment interview document

catalan colombian venezuelan 
catalonia colombia venezuela 



made making maker 
produced producing producer 

city cities city's 
town towns town's 

make makes maker 
produce produces producer 

make maker makers 
produce producer producers 

university professor graduated 
universities professors graduates 









began beginning begin 
continued continuing continue 

population density km2 
circulation intensity kmh 

member members membership 
leader leaders leadership 

party conservative nationalist 
parties conservatives nationalists 

band guitarist drummer 
bands guitars drums 

popular favorite favourite 
unpopular favor favour 

created formed merged 
create form merge 

province provinces provincial 
municipality municipalities municipal 

things objects items 
something object item 

father mother parents 
grandfather grandmother grandparents 

following followed follows 
allowing allowed allows 

making maker makers 
producing producer producers 

published edited illustrated 
publisher editor illustrator 

makes maker makers 
produces producer producers 

gave give gives 
gained gain gains 





produced producer producers 
directed director directors 

attack attacked attacking 
invade invaded invading 

race races raced 
trace traces traced 

director directed directing 
producer produced producing 



developed developers developer 
designed designers designer 

color colors colored 
colour colours coloured 

cause happen occur 
causing happening occurring 

teams clubs leagues 
team's club's league's 

performed performances performers 
danced dances dancers 

reached reach reaches 
peaked peak peaks 

reached reaching reaches 
approached approaching approaches 

helped asked chose 
helping asking choosing 

writing drawing printing 
writings drawings prints 

ended ends ending 
lasted lasts lasting 

months month monthly 
weeks week weekly 

disease illness stroke 
diseases illnesses strokes 

think know tell 
thinks knows tells 

decided refused convinced 
decides refuses convince 

russian turkish armenian 
russians turks armenians 

russian persian turkish 
russians persians turks 

win earn qualify 
winning earning qualifying 

win beat defeat 
winning beating defeating 

nhl bruins flyers 
nba celtics 76ers 

retired retirement retire 
resigned resignation resign 

destroyed attacked invaded 
destroying attacking invading 



help manage hire 
helps manages hires 

help allow rely 
helps allows relies 

help want ask 
helps wants asks 

german japanese korean 
germany's japan's korea's 

department agency commission 
departments agencies commissions 

worked stayed stood 
working staying standing 

killed hurt abused 
killing hurting abusing 

women woman woman's 
girls girl girl's 

songs singing sing 
compositions composing compose 

death marriage abdication 
die marry abdicate 

japanese filipino singaporean 
japan philippines singapore 

joined replaced removed 
joining replacing removing 

contains belongs shares 
contain belong share 

elected appointed chosen 
elect appoint choose 

writing literature writers 
teaching education teachers 

religious cultural linguistic 
religion culture language 

fought attacked landed 
battles attacks landings 



passed pushed thrown 
pass push throw 

bangladesh afghanistan myanmar 
dhaka kabul yangon 

mosque shrine basilica 
mosques shrines basilicas 

crash explosion eruption 
crashed exploded erupted 

understand define classify 
understood defined classified 

perform performing performs 
conduct conducting conducts 

stand standing stood 
walk walking walked 

conductor conducting conductors 
performer performing performers 

confirmed determined calculated 
confirm determine calculate 

settlement mining trading 
settlers miners traders 

settled settlers settle 
explored explorers explore 

particles electrons molecules 
particle electron molecule 

escape catch bite 
escaped caught bitten 

literature journalism psychiatry 
writers journalists psychiatrists 

defined measured calculated 
define measure calculate 

jump jumping jumper 
climb climbing climber 

ride rider riders 
climb climber climbers 

stay swim breathe 
stays swims breathes 

learn teach preach 
learning teaching preaching 

learn communicate interact 
learning communication interaction 

learn develop promote 
learning developing promoting 

poet architect economist 
literature architecture economics 

fall drop blow 
fell dropped blew 

see remember enjoy 
seen remembered enjoyed 

see detect observe 
seen detected observed 

see identify classify 
seen identified classified 

see sees seeing 
feel feels feeling 

see discover explore 
seen discovered explored 

put putting puts 
removed removing removes 

put placed thrown 
putting placing throwing 

put brought forced 
putting bringing forcing 

put kept stored 
putting keeping storing 

changed turned thrown 
change turn throw 

received attended conducted 
receive attend conduct 

destroyed saved stolen 
destroy save steal 

simple easy cheap 
complicated difficult expensive 

see look behave 
sees looks behaves 

farming farmers farms 
mining miners mines 

lost lose losing 
gained gain gaining 

books poems texts 
writers poets scholars 

political economic cultural 
politics economy culture 

political economic cultural 
politically economically culturally 

animals animal animal's 
dogs dog dog's 

china indonesia myanmar 
chinese indonesian burmese 

length centimetres centimeter 
height feet foot 

control conquer colonize 
controlled conquered colonized 

start starting starts 
stop stopping stops 

produced distributed transmitted 
production distribution transmission 

shows describes represents 
shown described represented 

sold bought rented 
selling buying renting 

greek persian arabic 
greeks persians arabs 

sold owned controlled 
sells owns controls 

sent brought grew 
sending bringing growing 

sent taken thrown 
sending taking throwing 

developed established governed 
development establishment governance 

developed development develop 
evolved evolution evolve 

run break blow 
ran broke blew 

council committee commission 
councils committees commissions 

road roads vehicles 
railway railways locomotives 

social sociology sociologist 
economic economics economist 

strong hard soft 
stronger harder softer 

close closer closest 
far farther farthest 

car driver drivers 
bike rider riders 

size length distance 
sizes lengths distances 

writing learning understanding 
write learn understand 

divided separated combined 
divides separates combines 

democratic republican conservative 
democrats republicans conservatives 

eat feed graze 
eating feeding grazing 

thick narrow shallow 
thicker narrower shallower 

caught thrown washed 
catch throw wash 

hunting farming mining 
hunted farmed mined 

country china korea 
country's china's korea's 

country china korea 
continent asia africa 

country australia canada 
country's australia's canada's 

germany russia finland 
germans russians finns 

power influence controversy 
powerful influential controversial 

given kept protected 
gives keeps protects 

moved traveled flew 
moving traveling flying 

moved transferred switched 
moving transferring switching 

german germans hitler 
italian italians mussolini 

took threw blew 
taken thrown blown 

good safe healthy high wide thick 
better safer healthier higher wider thicker 

form create produce 
forming creating producing 

france kingdom britain 
france's kingdom's britain's 

went travelled sailed toured
going travelling sailing touring

written writing write 
translated translating translate 

means refers involves 
mean refer involve 

means happens occurs 
mean happen occur 

means represents implies 
mean represent imply 

live lived lives 
eat ate eats 

live speak sing 
lives speaks sings 

travel travelled travels 
meet met meets 

italian russian finnish 
italians russians finns 

level height depth 
higher taller deeper 

italy milan teatro 
russia moscow bolshoi 

writing learning solving 
write learn solve

stop stopped stopping 
remove removed removing 



italian russian finnish 
italians russians finns 

protect remove hide 
defend withdraw flee 

level height depth 
higher taller deeper 

norway bulgaria lithuania 
oslo bucharest vilnius 



jewish armenian ukrainian 
jews armenians ukrainians 

egypt iran arabia 
cairo tehran riyadh 





chosen recognized identified 
choose recognize identify 

performed perform performing 
conducted conduct conducting 

performed composed sung 
perform compose sing 



appointed chosen offered 
appoint choose offer 

temperature speed brightness 
hotter faster brighter 

pollination fertilisation dispersal 
pollinated fertilised dispersed 

korea korean koreans 
philippines philippine filipinos 

football sport cricket 
footballer sportsman cricketer 

son brother prince king duke 
daughter sister princess queen duchess

got saw happened 
getting seeing happening 

take taken taking 
carry carried carrying 

take taken taking 
steal stolen stealing 

take lose gain 
takes loses gains 

take find prove 
taken found proven 

take throw push 
taken thrown pushed 

built building build 
installed installation install 

india indian india's 
africa african africa's 

help hire invite 
helped hired invited 

help teach attend 
helps teaches attends 

help bring save 
helps brings saves 

is has shows 
was had showed 

is exists requires 
are exist require 

was became served 
being becoming serving 

york philadelphia houston 
mets phillies astros 

persian turkish norwegian 
baghdad istanbul oslo 

diego seattle cincinnati 
chargers seahawks bengals 

baltimore seattle denver 
ravens seahawks broncos

baltimore miami jacksonville 
ravens dolphins jaguars 

paris moscow madrid 
ligue cska atletico 

los boston philadelphia 
lakers celtics 76ers 

composer composers mozart 
poet poets metastasio 

composer composers scarlatti 
painter painters titian 

boston vancouver buffalo 
bruins canucks sabres 

boston philadelphia atlanta 
bruins flyers thrashers 

soviet russian moscow 
czechoslovakia czech prague 

music musician musicians 
dance dancer dancers 

is was being 
takes took taking 

ohio georgia wisconsin 
cleveland atlanta milwaukee 

ohio maryland kentucky 
cleveland baltimore louisville 

pennsylvania michigan oregon 
philadelphia detroit portland 

pennsylvania ohio indiana 
pittsburgh cincinnati indianapolis 

performed performing performances 
recorded recording recordings 

chicago toronto calgary 
illinois ontario alberta 

australia australian australia's 
ireland irish ireland's 

is does tells 
are do tell 

is was been 
goes went gone 

made make making 
formed form forming 

made make making 
changed change changing 

american mexican brazilian 
english spanish portuguese 

movie movies actor 
song songs singer 

use give ask 
uses gives asks 

started ended resulted 
start end result 

said told warned 
say tell warn 

british dutch austrian 
britain netherlands austria 

british scottish danish 
britain scotland denmark 

british indian pakistani 
english hindi urdu 

british canadian swedish 
britain canada sweden 

british french german 
britain france germany 

government military political 
officials officers politicians 

